Name,Archseries,Primary type,Effect type,DEF,ATK,Level/Rank,Modification date,Errata,Version
Battle Demotion,"('Worker Warrior',)",,"('Effect',)",,,,2023-03-18 04:01:50,,Old
Battle Demotion,,,"('Effect',)",,,,2023-08-16 03:50:38,,New
Blue-Eyes Bright Dragon,"('Blue-Eyes (Rush Duel)',)",Effect Monster,"('Effect',)",2500,2500,8,2023-08-14 19:43:29,,New
Blue-Eyes Ultimate Dragon,"('Blue-Eyes (Rush Duel)',)",Fusion Monster,,3800,4500,12,2023-08-15 23:25:42,"('Type',)",New
Blue-Eyes Vision Dragon,"('Blue-Eyes (Rush Duel)',)",Effect Monster,"('Effect',)",2000,2500,8,2023-08-14 19:57:37,,New
Business Card Barrage,"('Worker Warrior',)",,"('Effect',)",,,,2023-06-27 20:01:49,,Old
Business Card Barrage,,,"('Effect',)",,,,2023-08-16 03:48:26,,New
Celeb Rose Wiz,"('Celeb Rose',)",,"('Effect',)",0,1000,1,2023-08-19 19:50:41,,New
Fish Depth Charge,,,"('Effect',)",,,,2023-08-19 19:51:13,"('Any',)",New
Glacies the Snowmeister of Sacred Splendor,,,"('Effect',)",???,???,???,2023-08-19 19:51:26,,New
Harpie Cielo,"('Harpie (Rush Duel series)',)",,"('Effect',)",???,???,???,2023-07-05 12:03:33,,Old
Harpie Cielo,"('Harpie (Rush Duel series)',)",Effect Monster,"('Effect',)",300,1000,4,2023-08-18 18:45:49,,New
Light Effigy,,Effect Monster,"('Continuous Effect',)",0,1500,4,2023-08-14 20:15:13,,New
Meteor Black Mars Dragon,,,"('Effect',)",???,???,???,2023-08-19 19:50:57,,New
Meteor Drake,,,"('Effect',)",???,???,???,2023-08-19 19:50:50,,New
Meteor Flare Fusion,"('Fusion (archetype)',)",,"('Effect',)",,,,2023-08-19 19:51:04,,New
My Patience Has Run Out!,,,"('Effect',)",,,,2023-08-16 01:09:04,,New
Planting Pixie,,,"('Effect',)",???,???,???,2023-08-19 19:51:20,,New
Red Reboot Enhanced Boost Dragon,"('High Tech Dragon',)",Fusion Monster,"('Effect',)",2500,2800,9,2023-08-17 06:45:06,,New
Red-Eyes Black Dragon,,Normal Monster,,2000,2400,7,2023-03-20 00:55:14,"('Name', 'Type')",Old
Red-Eyes Black Dragon,"('Red-Eyes (Rush Duel)',)",Normal Monster,,2000,2400,7,2023-08-17 17:59:46,"('Name', 'Type')",New
Salary Slash,"('Worker Warrior',)",,"('Effect',)",,,,2023-03-20 06:55:04,,Old
Salary Slash,,,"('Effect',)",,,,2023-08-16 03:43:52,,New
Sanctum of Legend,,,"('Effect',)",,,,2023-08-16 17:43:48,,New
Sevens Road Witch,"('Sevens Road',)",Effect Monster,"('Effect',)",1000,1600,6,2023-06-27 19:34:06,,Old
Sevens Road Witch,"('Sevens Road',)",Effect Monster,"('Effect',)",1000,1600,6,2023-08-18 08:35:13,"('Any',)",New
Swift Gaia the Fierce Knight,"('Gaia (series)',)",Effect Monster,"('Effect',)",2100,2300,7,2023-08-18 18:51:12,"('Name',)",New
The Trinity Dragiastar,"('The',)",Fusion Monster,"('Effect',)",3500,4300,12,2023-08-03 10:38:54,,Old
The Trinity Dragiastar,"('The',)",Fusion Monster,"('Multi-Choice Effect',)",3500,4300,12,2023-08-17 02:28:52,,New
Treasure of Eyes of Blue,,,"('Effect',)",,,,2023-08-14 20:10:46,,New
