Name,Card type,Property,Archseries,Effect type,Modification date,Errata,Version
Accel Wonder Light,Monster Card,,,"('Effect',)",2023-08-23 17:27:34,,New
Behemoth the King of All Animals,Monster Card,,,"('Effect',)",2023-06-27 11:45:28,"('Any',)",Old
Behemoth the King of All Animals,Monster Card,,,"('Effect', 'Summoning condition')",2023-08-26 19:01:46,"('Any',)",New
Blue-Eyes Vision Dragon,Monster Card,,"('Blue-Eyes (Rush Duel)',)","('Effect',)",2023-08-14 19:57:37,,Old
Blue-Eyes Vision Dragon,Monster Card,,"('Blue-Eyes (Rush Duel)',)","('Effect', 'Summoning condition')",2023-08-26 18:56:19,,New
Clawleon,Monster Card,,"('Chameleon',)","('Effect',)",2023-03-18 08:21:00,,Old
Clawmeleon,Monster Card,,"('Chameleon',)","('Effect',)",2023-08-21 19:18:21,,New
Clean Machine Newsweeper,Monster Card,,"('Newspaper',)","('Effect',)",2023-08-22 20:23:45,,New
Cleaning Machine Gorgain,Monster Card,,"('Newspaper',)","('Effect',)",2023-03-18 08:21:33,,Old
Cyber Assault Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)","('Effect',)",2023-07-21 05:22:37,,Old
Cyber Assault Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)","('Effect', 'Summoning condition')",2023-08-26 18:58:38,,New
Cyber Processor,Monster Card,,,"('Effect',)",2023-08-18 08:23:56,,Old
Cyber Processor,Monster Card,,,"('Effect', 'Summoning condition')",2023-08-26 19:11:35,,New
Cyber Search Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)","('Effect',)",2023-06-27 19:59:14,,Old
Cyber Search Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)","('Effect', 'Summoning condition')",2023-08-26 18:59:39,,New
Cyber Stealth Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)","('Continuous Effect',)",2023-06-27 19:59:09,,Old
Cyber Stealth Dragon,Monster Card,,"('Cyber Dragon (Rush Duel series)',)","('Continuous Effect', 'Summoning condition')",2023-08-26 18:57:27,,New
Cyc the Child of Wind,Monster Card,,,"('Effect',)",2023-08-21 18:58:09,,New
Darkness Lode,Spell Card,Field Spell Card,"('Darkness (Rush Duel series)',)","('Effect',)",2023-08-22 20:21:44,,New
Darkness Road,Spell Card,Field Spell Card,"('Darkness (Rush Duel series)',)","('Effect',)",2023-06-04 00:56:55,,Old
Destruction of the Universe,Trap Card,Normal Trap Card,,"('Effect',)",2023-08-22 11:02:21,,New
Divinebreath the Orchestral Music Fiend,Monster Card,,"('Music Princess',)","('Effect',)",2023-08-22 11:04:26,,New
Dragonic Demolisher,Monster Card,,,"('Effect',)",2023-08-21 20:23:32,,New
Durga the Shadow Flower Stealth Submarine,Monster Card,,"('Shadow Flower',)","('Effect',)",2023-07-21 04:42:45,,Old
Durga the Shadow Flower Submarine,Monster Card,,"('Shadow Flower',)","('Effect',)",2023-08-22 05:48:49,,New
Ecdysis Caesarleon,Monster Card,,"('Chameleon',)","('Continuous Effect',)",2023-08-21 21:21:58,,New
