Card number,Name,Modification date,Version
????-JP0??,Scrap-Iron Idol,2023-02-10 08:59:37,Old
????-JP0??,Synchro World,2023-02-10 08:59:37,Old
????-JP0??,Synchro Over Top,2023-02-10 08:59:37,Old
????-JP0??,The Crimson Dragon,2023-02-10 08:59:37,Old
????-JP0??,Cosmic Quasar Dragon,2023-02-10 08:59:37,Old
????-JP0??,Revolution Synchron,2023-02-10 08:59:37,Old
????-JP0??,Wheel Synchron,2023-02-10 08:59:37,Old
????-JP0??,Synchro Over Top,2023-02-10 13:50:21,New
????-JP0??,The Crimson Dragon,2023-02-10 13:50:21,New
????-JP0??,Cosmic Quasar Dragon,2023-02-10 13:50:21,New
????-JP0??,Revolution Synchron,2023-02-10 13:50:21,New
????-JP0??,Wheel Synchron,2023-02-10 13:50:21,New
????-JP0??,Synchro World,2023-02-10 13:50:21,New
????-JP0??,Scrap-Iron Idol,2023-02-10 13:50:21,New
