Card number,Region,Version
CBLZ-SP000,ES,Old
CBLZ-SP000,SP,New
CBLZ-SP001,ES,Old
CBLZ-SP001,SP,New
CBLZ-SP002,ES,Old
CBLZ-SP002,SP,New
CBLZ-SP003,ES,Old
CBLZ-SP003,SP,New
CBLZ-SP004,ES,Old
CBLZ-SP004,SP,New
CBLZ-SP005,SP,New
CBLZ-SP005,ES,Old
CBLZ-SP006,ES,Old
CBLZ-SP006,SP,New
CBLZ-SP007,SP,New
CBLZ-SP007,ES,Old
CBLZ-SP008,SP,New
CBLZ-SP008,ES,Old
CBLZ-SP009,SP,New
CBLZ-SP009,ES,Old
CBLZ-SP010,SP,New
CBLZ-SP010,ES,Old
CBLZ-SP011,ES,Old
CBLZ-SP011,SP,New
CBLZ-SP012,ES,Old
CBLZ-SP012,SP,New
CBLZ-SP013,ES,Old
CBLZ-SP013,SP,New
CBLZ-SP014,ES,Old
CBLZ-SP014,SP,New
CBLZ-SP015,SP,New
CBLZ-SP015,ES,Old
CBLZ-SP016,SP,New
CBLZ-SP016,ES,Old
CBLZ-SP017,SP,New
CBLZ-SP017,ES,Old
CBLZ-SP018,ES,Old
CBLZ-SP018,SP,New
CBLZ-SP019,SP,New
CBLZ-SP019,ES,Old
CBLZ-SP020,ES,Old
CBLZ-SP020,SP,New
CBLZ-SP021,ES,Old
CBLZ-SP021,SP,New
CBLZ-SP022,SP,New
CBLZ-SP022,ES,Old
CBLZ-SP023,ES,Old
CBLZ-SP023,SP,New
CBLZ-SP024,ES,Old
CBLZ-SP024,SP,New
CBLZ-SP025,ES,Old
CBLZ-SP025,SP,New
CBLZ-SP026,ES,Old
CBLZ-SP026,SP,New
CBLZ-SP027,SP,New
CBLZ-SP027,ES,Old
CBLZ-SP028,ES,Old
CBLZ-SP028,SP,New
CBLZ-SP029,SP,New
CBLZ-SP029,ES,Old
CBLZ-SP030,SP,New
CBLZ-SP030,ES,Old
CBLZ-SP031,SP,New
CBLZ-SP031,ES,Old
CBLZ-SP032,SP,New
CBLZ-SP032,ES,Old
CBLZ-SP033,ES,Old
CBLZ-SP033,SP,New
CBLZ-SP034,SP,New
CBLZ-SP034,ES,Old
CBLZ-SP035,SP,New
CBLZ-SP035,ES,Old
CBLZ-SP036,SP,New
CBLZ-SP036,ES,Old
CBLZ-SP037,SP,New
CBLZ-SP037,ES,Old
CBLZ-SP038,ES,Old
CBLZ-SP038,SP,New
CBLZ-SP039,ES,Old
CBLZ-SP039,SP,New
CBLZ-SP040,ES,Old
CBLZ-SP040,SP,New
CBLZ-SP041,SP,New
CBLZ-SP041,ES,Old
CBLZ-SP042,ES,Old
CBLZ-SP042,SP,New
CBLZ-SP043,SP,New
CBLZ-SP043,ES,Old
CBLZ-SP044,ES,Old
CBLZ-SP044,SP,New
CBLZ-SP045,ES,Old
CBLZ-SP045,SP,New
CBLZ-SP046,SP,New
CBLZ-SP046,ES,Old
CBLZ-SP047,ES,Old
CBLZ-SP047,SP,New
CBLZ-SP048,SP,New
CBLZ-SP048,ES,Old
CBLZ-SP049,SP,New
CBLZ-SP049,ES,Old
CBLZ-SP050,SP,New
CBLZ-SP050,ES,Old
CBLZ-SP051,ES,Old
CBLZ-SP051,SP,New
CBLZ-SP052,SP,New
CBLZ-SP052,ES,Old
CBLZ-SP053,ES,Old
CBLZ-SP053,SP,New
CBLZ-SP054,SP,New
CBLZ-SP054,ES,Old
CBLZ-SP055,SP,New
CBLZ-SP055,ES,Old
CBLZ-SP056,SP,New
CBLZ-SP056,ES,Old
CBLZ-SP057,SP,New
CBLZ-SP057,ES,Old
CBLZ-SP058,SP,New
CBLZ-SP058,ES,Old
CBLZ-SP059,ES,Old
CBLZ-SP059,SP,New
CBLZ-SP060,SP,New
CBLZ-SP060,ES,Old
CBLZ-SP061,SP,New
CBLZ-SP061,ES,Old
CBLZ-SP062,ES,Old
CBLZ-SP062,SP,New
CBLZ-SP063,ES,Old
CBLZ-SP063,SP,New
CBLZ-SP064,ES,Old
CBLZ-SP064,SP,New
CBLZ-SP065,SP,New
CBLZ-SP065,ES,Old
CBLZ-SP066,ES,Old
CBLZ-SP066,SP,New
CBLZ-SP067,SP,New
CBLZ-SP067,ES,Old
CBLZ-SP068,SP,New
CBLZ-SP068,ES,Old
CBLZ-SP069,SP,New
CBLZ-SP069,ES,Old
CBLZ-SP070,ES,Old
CBLZ-SP070,SP,New
CBLZ-SP071,ES,Old
CBLZ-SP071,SP,New
CBLZ-SP072,ES,Old
CBLZ-SP072,SP,New
CBLZ-SP073,SP,New
CBLZ-SP073,ES,Old
CBLZ-SP074,ES,Old
CBLZ-SP074,SP,New
CBLZ-SP075,SP,New
CBLZ-SP075,ES,Old
CBLZ-SP076,ES,Old
CBLZ-SP076,SP,New
CBLZ-SP077,SP,New
CBLZ-SP077,ES,Old
CBLZ-SP078,ES,Old
CBLZ-SP078,SP,New
CBLZ-SP079,SP,New
CBLZ-SP079,ES,Old
CBLZ-SP080,SP,New
CBLZ-SP080,ES,Old
CBLZ-SP081,SP,New
CBLZ-SP081,ES,Old
CBLZ-SP082,ES,Old
CBLZ-SP082,SP,New
CBLZ-SP083,SP,New
CBLZ-SP083,ES,Old
CBLZ-SP084,SP,New
