Card number,Set,Rarity,Region,Release,Series,Set type,Cover card,Page URL,Modification date,Version
20DS-JP001,20th Anniversary Duel Set,"('20th Secret Rare',)",JP,,,,,https://yugipedia.com/wiki/20th_Anniversary_Duel_Set,2019-05-21 09:27:49,Old
20DS-JP001,20th Anniversary Duel Set (Obelisk the Tormentor),"('20th Secret Rare',)",JP,2018-10-31,,Promotional card,,https://yugipedia.com/wiki/20th_Anniversary_Duel_Set_(Obelisk_the_Tormentor),2022-08-31 20:36:59,New
20DS-JP002,20th Anniversary Duel Set,"('20th Secret Rare',)",JP,,,,,https://yugipedia.com/wiki/20th_Anniversary_Duel_Set,2019-05-21 09:27:49,Old
20DS-JP002,20th Anniversary Duel Set (Slifer the Sky Dragon),"('20th Secret Rare',)",JP,2019-09-26,,Promotional card,,https://yugipedia.com/wiki/20th_Anniversary_Duel_Set_(Slifer_the_Sky_Dragon),2022-08-31 20:37:04,New
307-001,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-001,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-002,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-002,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-003,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-003,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-004,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-004,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-005,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-005,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-006,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-006,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-007,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-007,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-008,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-008,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-009,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-009,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-010,Invader of Darkness,"('Ultra Rare', 'Ultra Parallel Rare', 'Ultimate Rare')",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-010,Invader of Darkness (set),"('Ultra Rare', 'Ultra Parallel Rare', 'Ultimate Rare')",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-011,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-011,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-012,Invader of Darkness,"('Rare',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-012,Invader of Darkness (set),"('Rare',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-013,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-013,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-014,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-014,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-015,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-015,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-016,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-016,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-017,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-017,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-018,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-018,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-019,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-019,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-020,Invader of Darkness,"('Ultra Rare', 'Ultra Parallel Rare')",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-020,Invader of Darkness (set),"('Ultra Rare', 'Ultra Parallel Rare')",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-021,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-021,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-022,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-022,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-023,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-023,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-024,Invader of Darkness,"('Common',)",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
307-024,Invader of Darkness (set),"('Common',)",JP,2003-07-17,Core Booster,Booster pack,"('Dark Magician of Chaos',)",https://yugipedia.com/wiki/Invader_of_Darkness_(set),2022-07-23 10:07:04,New
307-025,Invader of Darkness,"('Ultra Rare', 'Ultra Parallel Rare')",JP,,,,,https://yugipedia.com/wiki/Invader_of_Darkness,2022-08-25 17:22:36,Old
