Card number,Set,Name,Rarity,Print,Modification date,Release,Set type,Version
CL03-SC085,Classic Pack 03,,,,2023-02-19 04:13:11,2023-02-25,Booster pack,Old
CL03-SC085,Classic Pack 03,Purple Poison Magician,"('Super Rare',)",New,2023-02-20 04:04:44,2023-02-25,Booster pack,New
MGP6-SC069,Mega Pack 06,,,,2023-02-18 14:42:01,2023-03-25,Booster pack,Old
MGP6-SC069,Mega Pack 06,Antihuman Intelligence ME-PSY-YA,"('Prismatic Secret Rare',)",,2023-02-20 01:54:31,2023-03-25,Booster pack,New
MGP6-SC193,Mega Pack 06,,,,2023-02-18 14:42:01,2023-03-25,Booster pack,Old
MGP6-SC193,Mega Pack 06,Crossrose Dragon,"('Rare',)",,2023-02-20 01:54:31,2023-03-25,Booster pack,New
SD09-ENSS1,Structure Deck: Dinosaur's Rage Special Set,Five-Headed Dragon,"('Ultra Rare',)",,2020-12-27 02:00:28,,Special Edition,Old
SD09-ENSS1,Structure Deck: Dinosaur's Rage Special Set,Five-Headed Dragon,"('Ultra Rare',)",,2020-12-27 02:00:28,,Special Edition,Old
SD09-ENSS1,Structure Deck: Dinosaur's Rage Special Set,Five-Headed Dragon,"('Ultra Rare',)",,2020-12-27 02:00:28,2006-10-25,Special Edition,New
SD09-JPS01,Structure Deck: Dinosaur's Rage Special Edition,Super Conductor Tyranno,"('Ultimate Rare',)",,2020-12-27 02:00:14,,,Old
SD09-JPS01,Structure Deck: Dinosaur's Rage Special Edition (Japanese),Super Conductor Tyranno,"('Ultimate Rare',)",,2023-02-20 00:16:52,2006-09-14,Special Edition,New
SD09-KRSE1,Structure Deck: Dinosaur's Rage Special Edition,Hidden Armory,"('Secret rare',)",,2020-12-25 23:44:35,,,Old
SD09-KRSE1,Structure Deck: Dinosaur's Rage Special Edition (Korean),Hidden Armory,"('Secret rare',)",,2023-02-20 12:00:23,2008-04-30,Special Edition,New
