Card number,Name,Rarity,Print,Modification date,Release,Cover card,Version
CL03-SC001,Black Luster Soldier - Envoy of the Beginning,"('Prismatic Secret Rare',)",Reprint,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC001,Black Luster Soldier - Envoy of the Beginning,"('Prismatic Secret Rare',)",Reprint,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC002,Charging Gaia the Fierce Knight,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC002,Charging Gaia the Fierce Knight,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC003,Sphere Kuriboh,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC003,Sphere Kuriboh,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC004,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC004,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC005,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC005,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC006,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC006,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC007,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC007,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC008,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC008,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC009,Black Luster Soldier,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC009,Black Luster Soldier,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC010,Black Luster Soldier - Super Soldier,"('Common',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC010,Black Luster Soldier - Super Soldier,"('Common',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC011,Black Luster Soldier - Legendary Swordsman,"('Secret Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC011,Black Luster Soldier - Legendary Swordsman,"('Secret Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC012,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC012,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC013,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC013,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC014,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC014,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC015,,,,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC015,,,,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
CL03-SC016,Gateway to Chaos,"('Rare',)",New,2023-02-21 04:14:44,2023-02-25,,Old
CL03-SC016,Gateway to Chaos,"('Rare',)",New,2023-02-22 04:17:06,2023-02-25,"('Black Luster Soldier - Soldier of Chaos',)",New
