Card number,Name,Rarity,Print,Modification date,Series,Version
23PR-JP003,Daidaratant the Liquid Giant,"('Normal Parallel Rare',)",,2022-12-17 00:25:08,,Old
23PR-JP003,Daidaratant the Ooze Giant,"('Normal Parallel Rare',)",,2023-02-23 18:22:35,,New
23YJ-JPT01,Miscellaneousaurus,"('Ultra Parallel Rare',)",,2023-02-26 12:13:37,,New
23YJ-JPT02,Lil-la-Rap,"('Ultra Parallel Rare',)",,2023-02-26 12:17:41,,New
????-EN???,Spirit of the Pot of Greed,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Riches,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Dichotomy,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Duality,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Avarice,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Desires,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Extravagance,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Prosperity,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Moray of Greed,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Shard of Greed,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Acquisitiveness,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Generosity,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Benevolence,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Greed,"('Quarter Century Secret Rare',)",,2023-02-08 14:24:35,,Old
????-EN???,Pot of Greed,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,,Old
BLAR-DE000,Number 39: Utopia,"('Starlight Rare',)",Reprint,2020-12-27 01:13:49,,Old
BLAR-DE000,Number 39: Utopia,"('Starlight Rare',)",Reprint,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE001,Dark Spell Regeneration,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE001,Dark Spell Regeneration,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE002,Powered Crawler,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE002,Powered Crawler,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE003,Intruder Alarm - Yellow Alert,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE003,Intruder Alarm - Yellow Alert,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE004,Penguin Torpedo,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE004,Penguin Torpedo,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE005,Weathering Soldier,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE005,Weathering Soldier,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE006,Fossil Warrior Skull King,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE006,Fossil Warrior Skull King,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE007,Fossil Warrior Skull Knight,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE007,Fossil Warrior Skull Knight,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE008,Fossil Warrior Skull Bone,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE008,Fossil Warrior Skull Bone,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE009,Fossil Dragon Skullgios,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE009,Fossil Dragon Skullgios,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE010,Fossil Dragon Skullgar,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE010,Fossil Dragon Skullgar,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE011,Fossil Fusion,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE011,Fossil Fusion,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE012,Time Stream,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE012,Time Stream,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE013,Specimen Inspection,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE013,Specimen Inspection,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE014,Miracle Rupture,"('Secret Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE014,Miracle Rupture,"('Secret Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
BLAR-DE015,Psychic Wave,"('Ultra Rare',)",New,2020-12-27 01:13:49,,Old
BLAR-DE015,Psychic Wave,"('Ultra Rare',)",New,2020-12-27 01:13:49,Battles of Legend,New
