Card number,Name,Rarity,Print,Modification date,Version
23YJ-JPT01,Miscellaneousaurus,"('Ultra Parallel Rare',)",,2023-02-26 12:13:37,New
23YJ-JPT02,Lil-la-Rap,"('Ultra Parallel Rare',)",,2023-02-26 12:17:41,New
MGP6-SC083,,,,2023-02-24 16:10:33,Old
MGP6-SC083,GranSolfachord Musecia,"('Super Rare',)",,2023-02-27 01:24:09,New
MGP6-SC128,,,,2023-02-24 16:10:33,Old
MGP6-SC128,Lord of the Heavenly Prison,"('Prismatic Secret Rare',)",,2023-02-27 01:24:09,New
MGP6-SC140,,,,2023-02-24 16:10:33,Old
MGP6-SC140,Cupid Pitch,"('Prismatic Secret Rare',)",,2023-02-27 01:24:09,New
MGP6-SC167,,,,2023-02-24 16:10:33,Old
MGP6-SC167,Laundry Trap,"('Common',)",,2023-02-27 01:24:09,New
RD/LGP1-JP043,,,,2023-02-23 10:09:25,Old
RD/LGP1-JP043,Cursed Sword of the East,"('Common',)",New,2023-02-25 23:04:08,New
TM02-SC001,,,,2023-02-27 04:29:31,New
TM02-SC002,,,,2023-02-27 04:29:31,New
TM02-SC003,,,,2023-02-27 04:29:31,New
TM02-SC004,,,,2023-02-27 04:29:31,New
TM02-SC005,,,,2023-02-27 04:29:31,New
TM02-SC006,,,,2023-02-27 04:29:31,New
TM02-SC007,,,,2023-02-27 04:29:31,New
TM02-SC008,,,,2023-02-27 04:29:31,New
TM02-SC009,,,,2023-02-27 04:29:31,New
TM02-SC010,,,,2023-02-27 04:29:31,New
TM02-SC011,,,,2023-02-27 04:29:31,New
TM02-SC012,,,,2023-02-27 04:29:31,New
TM02-SC013,,,,2023-02-27 04:29:31,New
TM02-SC014,,,,2023-02-27 04:29:31,New
TM02-SC015,,,,2023-02-27 04:29:31,New
TM02-SC016,,,,2023-02-27 04:29:31,New
TM02-SC017,,,,2023-02-27 04:29:31,New
TM02-SC018,,,,2023-02-27 04:29:31,New
TM02-SC019,,,,2023-02-27 04:29:31,New
TM02-SC020,,,,2023-02-27 04:29:31,New
TM02-SC021,,,,2023-02-27 04:29:31,New
TM02-SC022,,,,2023-02-27 04:29:31,New
TM02-SC023,,,,2023-02-27 04:29:31,New
TM02-SC024,,,,2023-02-27 04:29:31,New
TM02-SC025,,,,2023-02-27 04:29:31,New
TM02-SC026,,,,2023-02-27 04:29:31,New
TM02-SC027,,,,2023-02-27 04:29:31,New
TM02-SC028,,,,2023-02-27 04:29:31,New
TM02-SC029,,,,2023-02-27 04:29:31,New
TM02-SC030,,,,2023-02-27 04:29:31,New
TM02-SC031,,,,2023-02-27 04:29:31,New
TM02-SC032,,,,2023-02-27 04:29:31,New
TM02-SC033,,,,2023-02-27 04:29:31,New
TM02-SC034,,,,2023-02-27 04:29:31,New
TM02-SC035,,,,2023-02-27 04:29:31,New
TM02-SC036,,,,2023-02-27 04:29:31,New
TM02-SC037,,,,2023-02-27 04:29:31,New
TM02-SC038,,,,2023-02-27 04:29:31,New
TM02-SC039,,,,2023-02-27 04:29:31,New
TM02-SC040,,,,2023-02-27 04:29:31,New
TM02-SC041,,,,2023-02-27 04:29:31,New
TM02-SC042,,,,2023-02-27 04:29:31,New
TM02-SC043,,,,2023-02-27 04:29:31,New
TM02-SC044,,,,2023-02-27 04:29:31,New
TM02-SC045,,,,2023-02-27 04:29:31,New
TM02-SC046,,,,2023-02-27 04:29:31,New
TM02-SC047,,,,2023-02-27 04:29:31,New
TM02-SC048,,,,2023-02-27 04:29:31,New
TM02-SC049,,,,2023-02-27 04:29:31,New
TM02-SC050,,,,2023-02-27 04:29:31,New
TM02-SC051,,,,2023-02-27 04:29:31,New
TM02-SC052,,,,2023-02-27 04:29:31,New
TM02-SC053,,,,2023-02-27 04:29:31,New
TM02-SC054,,,,2023-02-27 04:29:31,New
TM02-SC055,,,,2023-02-27 04:29:31,New
TM02-SC056,,,,2023-02-27 04:29:31,New
TM02-SC057,,,,2023-02-27 04:29:31,New
TM02-SC058,,,,2023-02-27 04:29:31,New
TM02-SC059,,,,2023-02-27 04:29:31,New
TM02-SC060,,,,2023-02-27 04:29:31,New
TM02-SC061,,,,2023-02-27 04:29:31,New
TM02-SC062,,,,2023-02-27 04:29:31,New
TM02-SC063,,,,2023-02-27 04:29:31,New
TM02-SC064,,,,2023-02-27 04:29:31,New
TM02-SC065,,,,2023-02-27 04:29:31,New
TM02-SC066,,,,2023-02-27 04:29:31,New
TM02-SC067,,,,2023-02-27 04:29:31,New
TM02-SC068,,,,2023-02-27 04:29:31,New
TM02-SC069,,,,2023-02-27 04:29:31,New
TM02-SC070,,,,2023-02-27 04:29:31,New
TM02-SC071,,,,2023-02-27 04:29:31,New
TM02-SC072,,,,2023-02-27 04:29:31,New
TM02-SC073,,,,2023-02-27 04:29:31,New
TM02-SC074,,,,2023-02-27 04:29:31,New
TM02-SC075,,,,2023-02-27 04:29:31,New
TM02-SC076,,,,2023-02-27 04:29:31,New
TM02-SC077,,,,2023-02-27 04:29:31,New
TM02-SC078,,,,2023-02-27 04:29:31,New
TM02-SC079,,,,2023-02-27 04:29:31,New
TM02-SC080,,,,2023-02-27 04:29:31,New
TM02-SC081,,,,2023-02-27 04:29:31,New
TM02-SC082,,,,2023-02-27 04:29:31,New
TM02-SC083,,,,2023-02-27 04:29:31,New
TM02-SC084,,,,2023-02-27 04:29:31,New
TM02-SC085,,,,2023-02-27 04:29:31,New
TM02-SC086,Book of Life,"('Common',)",,2023-02-27 04:29:31,New
TM02-SC087,,,,2023-02-27 04:29:31,New
TM02-SC088,,,,2023-02-27 04:29:31,New
TM02-SC089,,,,2023-02-27 04:29:31,New
TM02-SC090,,,,2023-02-27 04:29:31,New
TM02-SC091,,,,2023-02-27 04:29:31,New
TM02-SC092,,,,2023-02-27 04:29:31,New
TM02-SC093,,,,2023-02-27 04:29:31,New
TM02-SC094,,,,2023-02-27 04:29:31,New
TM02-SC095,,,,2023-02-27 04:29:31,New
TM02-SC096,,,,2023-02-27 04:29:31,New
TM02-SC097,,,,2023-02-27 04:29:31,New
TM02-SC098,,,,2023-02-27 04:29:31,New
TM02-SC099,,,,2023-02-27 04:29:31,New
TM02-SC100,,,,2023-02-27 04:29:31,New
