Card number,Name,Print
MAZE-EN001,Labyrinth Heavy Tank,New
MAZE-EN002,Shadow Ghoul of the Labyrinth,New
MAZE-EN003,Gate Guardians Combined,New
MAZE-EN004,Gate Guardian of Thunder and Wind,New
MAZE-EN005,Gate Guardian of Wind and Water,New
MAZE-EN006,Gate Guardian of Water and Thunder,New
MAZE-EN007,Labyrinth Wall Shadow,New
MAZE-EN008,Double Attack! Wind and Thunder!!,New
MAZE-EN009,Riryoku Guardian,New
MAZE-EN010,Prey of the Jirai Gumo,New
MAZE-EN011,Black Luster Soldier - Legendary Swordsman,New
MAZE-EN012,Red-Eyes Soul,New
MAZE-EN013,Duel Academy,New
MAZE-EN014,Wake Up Your Elemental HERO,New
MAZE-EN015,Evolution End Burst,New
MAZE-EN016,"On Your Mark, Get Set, DUEL!",New
MAZE-EN017,Time to Stand Up,New
MAZE-EN018,This Creepy Little Punk,New
MAZE-EN019,Accel Synchro Stardust Dragon,New
MAZE-EN020,Overlay Network,New
MAZE-EN021,Number 39: Utopia Rising,New
MAZE-EN022,Barian Untopia,New
MAZE-EN023,Saga of the Dragon Emperor,New
MAZE-EN024,Performapal Duelist Extraordinaire,New
MAZE-EN025,Kahyoreigetsu,New
MAZE-EN026,Battle Royal Mode - Joining,New
MAZE-EN027,Soul of the Supreme King,New
MAZE-EN028,Firewall Dragon Darkfluid - Neo Tempest Terahertz,New
MAZE-EN029,Angel of Blue Tears,New
MAZE-EN030,Forge a New Future,New
MAZE-EN031,Labyrinth Wall,Reprint
MAZE-EN032,Sanga of the Thunder,Reprint
MAZE-EN033,Kazejin,Reprint
MAZE-EN034,Suijin,Reprint
MAZE-EN035,Gate Guardian,Reprint
MAZE-EN036,Superancient Deepsea King Coelacanth,Reprint
MAZE-EN037,Blackwing - Kalut the Moon Shadow,Reprint
MAZE-EN038,Blackwing - Elphin the Raven,Reprint
MAZE-EN039,Blackwing - Zephyros the Elite,Reprint
MAZE-EN040,Psi-Beast,Reprint
MAZE-EN041,Wind-Up Kitten,Reprint
MAZE-EN042,Nimble Angler,Reprint
MAZE-EN043,Mekk-Knight Blue Sky,Reprint
MAZE-EN044,Mekk-Knight Yellow Star,Reprint
MAZE-EN045,Mekk-Knight Red Moon,Reprint
MAZE-EN046,Photon Orbital,Reprint
MAZE-EN047,Rikka Petal,Reprint
MAZE-EN048,Mudan the Rikka Fairy,Reprint
MAZE-EN049,Guardian Chimera,Reprint
MAZE-EN050,Ancient Fairy Dragon,Functional errata
MAZE-EN051,Baronne de Fleur,Reprint
MAZE-EN052,"Alsei, the Sylvan High Protector",Reprint
MAZE-EN053,Teardrop the Rikka Queen,Reprint
MAZE-EN054,Mekk-Knight Crusadia Avramax,Reprint
MAZE-EN055,Cost Down,Reprint
MAZE-EN056,Overload Fusion,Reprint
MAZE-EN057,Burial from a Different Dimension,Reprint
MAZE-EN058,Court of Justice,Reprint
MAZE-EN059,Spellbook of Fate,Reprint
MAZE-EN060,Super Soldier Ritual,Reprint
MAZE-EN061,Chaos Form,Reprint
MAZE-EN062,Rikka Glamour,Reprint
MAZE-EN063,Solemn Judgment,Reprint
MAZE-EN064,Royal Decree,Reprint
MAZE-EN065,Imperial Iron Wall,Reprint
MAZE-EN066,Treacherous Trap Hole,Reprint
MAZE-EN067,Deep Dark Trap Hole,Reprint
MAZE-EN0??,Mekk-Knight Crusadia Avramax,Reprint
MAZE-EN0??,Red-Eyes Soul,New
MAZE-EN0??,Duel Academy,New
MAZE-EN0??,Wake Up Your Elemental HERO,New
MAZE-EN0??,Evolution End Burst,New
MAZE-EN0??,"On Your Mark, Get Set, DUEL!",New
MAZE-EN0??,Time to Stand Up,New
MAZE-EN0??,This Creepy Little Punk,New
MAZE-EN0??,Accel Synchro Stardust Dragon,New
MAZE-EN0??,Performapal Duelist Extraordinaire,New
MAZE-EN0??,Overlay Network,New
MAZE-EN0??,Number 39: Utopia Rising,New
MAZE-EN0??,Barian Untopia,New
MAZE-EN0??,Saga of the Dragon Emperor,New
MAZE-EN0??,Kahyoreigetsu,New
MAZE-EN0??,Battle Royal Mode - Joining,New
MAZE-EN0??,Soul of the Supreme King,New
MAZE-EN0??,Firewall Dragon Darkfluid - Neo Tempest Terahertz,New
MAZE-EN0??,Angel of Blue Tears,New
MAZE-EN0??,Forge a New Future,New
MAZE-EN0??,Wind-Up Kitten,Reprint
MAZE-EN0??,Guardian Chimera,Reprint
MAZE-EN0??,Baronne de Fleur,Reprint
MAZE-EN0??,Teardrop the Rikka Queen,Reprint
MAZE-EN0??,Spellbook of Fate,Reprint
MAZE-EN0??,Black Luster Soldier - Legendary Swordsman,New
