Card number,Name,Rarity,Modification date,Cover card,Version
MAZE-EN001,Labyrinth Heavy Tank,"('Super Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN001,Labyrinth Heavy Tank,"('Super Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN002,Shadow Ghoul of the Labyrinth,"('Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN002,Shadow Ghoul of the Labyrinth,"('Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN003,Gate Guardians Combined,"('Super Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN003,Gate Guardians Combined,"('Super Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN004,Gate Guardian of Thunder and Wind,"('Super Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN004,Gate Guardian of Thunder and Wind,"('Super Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
MAZE-EN005,Gate Guardian of Wind and Water,"('Super Rare',)",2023-02-27 17:56:43,,Old
MAZE-EN005,Gate Guardian of Wind and Water,"('Super Rare',)",2023-02-27 23:18:57,"('Accel Synchro Stardust Dragon', 'Angel of Blue Tears', 'Barian Untopia', 'Baronne de Fleur', 'Battle Royal Mode - Joining', 'Black Luster Soldier - Legendary Swordsman', 'Duel Academy (card)', 'Evolution End Burst', 'Firewall Dragon Darkfluid - Neo Tempest Terahertz', 'Forge a New Future', 'Gate Guardians Combined', 'Guardian Chimera', 'Kahyoreigetsu', 'Labyrinth Heavy Tank', 'Labyrinth Wall Shadow', 'Mekk-Knight Crusadia Avramax', 'Number 39: Utopia Rising', 'Overlay Network (card)', 'Red-Eyes Soul', 'Saga of the Dragon Emperor', 'Soul of the Supreme King', 'Spellbook of Fate', 'Teardrop the Rikka Queen', 'This Creepy Little Punk', 'Time to Stand Up', 'Wake Up Your Elemental HERO', 'Wind-Up Kitten')",New
