Card number,Set,Name,Rarity,Print,Page URL,Modification date,Release,Series,Version
MGP6-SC121,Mega Pack 06,,,,https://yugipedia.com/wiki/Set_Card_Lists:Mega_Pack_06_(OCG-SC),2023-02-28 15:25:43,2023-03-25,Mega Pack (series),Old
MGP6-SC121,Mega Pack 06,Floowandereeze & Empen,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Mega_Pack_06_(OCG-SC),2023-03-03 01:58:38,2023-03-25,Mega Pack (series),New
MGP6-SC127,Mega Pack 06,,,,https://yugipedia.com/wiki/Set_Card_Lists:Mega_Pack_06_(OCG-SC),2023-02-28 15:25:43,2023-03-25,Mega Pack (series),Old
MGP6-SC127,Mega Pack 06,Machina Ruinforce,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Mega_Pack_06_(OCG-SC),2023-03-03 01:58:38,2023-03-25,Mega Pack (series),New
MGP6-SC130,Mega Pack 06,,,,https://yugipedia.com/wiki/Set_Card_Lists:Mega_Pack_06_(OCG-SC),2023-02-28 15:25:43,2023-03-25,Mega Pack (series),Old
MGP6-SC130,Mega Pack 06,Outstanding Dog Mary,"('Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Mega_Pack_06_(OCG-SC),2023-03-03 01:58:38,2023-03-25,Mega Pack (series),New
MGP6-SC163,Mega Pack 06,,,,https://yugipedia.com/wiki/Set_Card_Lists:Mega_Pack_06_(OCG-SC),2023-02-28 15:25:43,2023-03-25,Mega Pack (series),Old
MGP6-SC163,Mega Pack 06,Floowandereeze and the Dreaming Town,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Mega_Pack_06_(OCG-SC),2023-03-03 01:58:38,2023-03-25,Mega Pack (series),New
RD/LGP1-JP011,Legend Awakening Pack,,,,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-02-25 23:04:08,2023-03-04,,Old
RD/LGP1-JP011,Legend Awakening Pack,Goddess of Whimsy,"('Super Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-03-02 10:47:25,2023-03-04,,New
RD/LGP1-JP042,Legend Awakening Pack,,,,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-02-25 23:04:08,2023-03-04,,Old
RD/LGP1-JP042,Legend Awakening Pack,Card Devastation,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-03-02 10:47:25,2023-03-04,,New
RD/LGP1-JP047,Legend Awakening Pack,,,,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-02-25 23:04:08,2023-03-04,,Old
RD/LGP1-JP047,Legend Awakening Pack,Delight of the Mighty,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-03-02 10:47:25,2023-03-04,,New
RD/LGP1-JP048,Legend Awakening Pack,,,,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-02-25 23:04:08,2023-03-04,,Old
RD/LGP1-JP048,Legend Awakening Pack,Card Reprint,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-03-02 10:47:25,2023-03-04,,New
RD/LGP1-JP049,Legend Awakening Pack,,,,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-02-25 23:04:08,2023-03-04,,Old
RD/LGP1-JP049,Legend Awakening Pack,Secret Order,"('Secret Rare',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-03-02 10:47:25,2023-03-04,,New
RD/LGP1-JP050,Legend Awakening Pack,,,,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-02-25 23:04:08,2023-03-04,,Old
RD/LGP1-JP050,Legend Awakening Pack,Ship of Seven Treasures,"('Secret Rare',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Legend_Awakening_Pack_(OCG-JP),2023-03-02 10:47:25,2023-03-04,,New
RD/SJMP-JP026,Saikyō Jump promotional cards,Deepsea Hunter,"('Normal Parallel Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Saiky%C5%8D_Jump_promotional_cards_(OCG-JP),2023-03-02 13:31:33,,,New
RD/SJMP-JP026,Saikyō Jump May 2023 promotional card,Deepsea Hunter,"('Normal Parallel Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Saiky%C5%8D_Jump_May_2023_promotional_card_(OCG-JP),2023-03-02 13:30:46,2023-04-01,Saikyō Jump promotional cards,New
TM02-SC006,Theme Pack: Undead Rondo,,,,https://yugipedia.com/wiki/Set_Card_Lists:Theme_Pack:_Undead_Rondo_(OCG-SC),2023-03-01 04:04:36,2023-04-29,Theme Pack,Old
TM02-SC006,Theme Pack: Undead Rondo,Dragonecro Nethersoul Dragon,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Theme_Pack:_Undead_Rondo_(OCG-SC),2023-03-03 04:11:49,2023-04-29,Theme Pack,New
TM02-SC007,Theme Pack: Undead Rondo,,,,https://yugipedia.com/wiki/Set_Card_Lists:Theme_Pack:_Undead_Rondo_(OCG-SC),2023-03-01 04:04:36,2023-04-29,Theme Pack,Old
TM02-SC007,Theme Pack: Undead Rondo,Dragocytos Corrupted Nethersoul Dragon,"('Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Theme_Pack:_Undead_Rondo_(OCG-SC),2023-03-03 04:11:49,2023-04-29,Theme Pack,New
