Card number,Rarity,Modification date,Version
MAZE-EN011,"('Ultra Rare',)",2023-02-27 23:18:57,Old
MAZE-EN011,"('Ultra Rare', ""Collector's Rare"")",2023-03-03 18:45:30,New
MAZE-EN019,"('Ultra Rare',)",2023-02-27 23:18:57,Old
MAZE-EN019,"('Ultra Rare', ""Collector's Rare"")",2023-03-03 18:45:30,New
MAZE-EN035,"('Rare',)",2023-02-27 23:18:57,Old
MAZE-EN035,"('Rare', ""Collector's Rare"")",2023-03-03 18:45:30,New
MAZE-EN049,"('Ultra Rare',)",2023-02-27 23:18:57,Old
MAZE-EN049,"('Ultra Rare', ""Collector's Rare"")",2023-03-03 18:45:30,New
MAZE-EN054,"('Super Rare',)",2023-02-27 23:18:57,Old
MAZE-EN054,"('Super Rare', ""Collector's Rare"")",2023-03-03 18:45:30,New
