Card number,Name,Rarity,Print,Modification date,Cover card,Version
BLMR-EN???,Dark Magician the Knight of Dragon Magic,,New,2023-03-30 18:26:46,,Old
BLMR-EN???,Tri-Edge Master,,New,2023-03-30 18:26:46,,Old
BLMR-EN???,"Dante, Traveler of the Burning Abyss","('QCScR',)",Reprint,2023-03-30 18:26:46,,Old
BLMR-EN???,Dark Armed Dragon,"('QCScR',)",Reprint,2023-03-30 18:26:46,,Old
BLMR-EN???,Daidaratant the Ooze Giant,,New,2023-03-30 18:26:46,,Old
BLMR-EN???,Cattycorn,,New,2023-03-30 18:26:46,,Old
BLMR-EN???,"Ghost Lancer, the Underworld Spearman",,New,2023-03-30 18:26:46,,Old
BLMR-EN???,Extox Hydra,,New,2023-03-30 18:26:46,,Old
BLMR-EN???,Rokket Coder,,New,2023-03-30 18:26:46,,Old
BLMR-EN???,Divine Arsenal AA-ZEUS - Sky Thunder,"('QCScR',)",Reprint,2023-03-30 18:26:46,,Old
BLMR-EN???,Odd-Eyes Rebellion Xyz Dragon,,New,2023-03-30 18:26:46,,Old
BLMR-EN???,Assault Synchron,"('QCScR',)",New,2023-03-30 18:26:46,,Old
BLMR-EN???,Armed Neos,"('QCScR',)",New,2023-03-30 18:26:46,,Old
BLMR-EN???,Rite of Aramesir,"('QCScR',)",Reprint,2023-03-30 18:26:46,,Old
BLMR-EN???,Welcome Labrynth,"('QCScR',)",Reprint,2023-03-30 18:26:46,,Old
BLMR-EN???,Numbers Last Hope,,New,2023-03-30 18:26:46,,Old
BLMR-EN???,Sky Striker Mobilize - Engage!,"('QCScR',)",New artwork,2023-03-30 18:26:46,,Old
BLMR-EN???,Numbers Last Hope,,New,2023-05-03 09:47:09,,New
BLMR-EN???,Odd-Eyes Rebellion Xyz Dragon,,New,2023-05-03 09:47:09,,New
BLMR-EN???,Rokket Coder,,New,2023-05-03 09:47:09,,New
BLMR-EN???,Extox Hydra,,New,2023-05-03 09:47:09,,New
BLMR-EN???,Tri-Edge Master,,New,2023-05-03 09:47:09,,New
BLMR-EN???,"Ghost Lancer, the Underworld Spearman",,New,2023-05-03 09:47:09,,New
BLMR-EN???,Cattycorn,,New,2023-05-03 09:47:09,,New
BLMR-EN???,Daidaratant the Ooze Giant,,New,2023-05-03 09:47:09,,New
BLMR-EN???,Dark Armed Dragon,"('QCScR',)",Reprint,2023-05-03 09:47:09,,New
BLMR-EN???,Knightmare Corruptor Iblee,,Reprint,2023-05-03 09:47:09,,New
BLMR-EN???,Danger! Nessie!,,Reprint,2023-05-03 09:47:09,,New
BLMR-EN???,Noh-P.U.N.K. Foxy Tune,,Reprint,2023-05-03 09:47:09,,New
BLMR-EN???,"Dante, Traveler of the Burning Abyss","('QCScR',)",Reprint,2023-05-03 09:47:09,,New
BLMR-EN???,Divine Arsenal AA-ZEUS - Sky Thunder,"('QCScR',)",Reprint,2023-05-03 09:47:09,,New
BLMR-EN???,Sky Striker Mobilize - Engage!,"('QCScR',)",New artwork,2023-05-03 09:47:09,,New
BLMR-EN???,Rite of Aramesir,"('QCScR',)",Reprint,2023-05-03 09:47:09,,New
BLMR-EN???,Welcome Labrynth,"('QCScR',)",Reprint,2023-05-03 09:47:09,,New
BLMR-EN???,Armed Neos,"('QCScR',)",New,2023-05-03 09:47:09,,New
BLMR-EN???,Dark Magician the Knight of Dragon Magic,,New,2023-05-03 09:47:09,,New
BLMR-EN???,Assault Synchron,"('QCScR',)",New,2023-05-03 09:47:09,,New
DBWS-JP001,Xeno Meteoros,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP001,Xeno Meteoros,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP002,Transcendrake Meteoros,"('Ultra Rare', 'Secret Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP002,Transcendrake Meteoros,"('Ultra Rare', 'Secret Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP003,Transcendrake Gigantozowler,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP003,Transcendrake Gigantozowler,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP004,Transcendrake Glacesaurus,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP004,Transcendrake Glacesaurus,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP005,Transcendrake Drillgnathus,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP005,Transcendrake Drillgnathus,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP006,Ground Xeno,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP006,Ground Xeno,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP007,Transcendent Flight,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP007,Transcendent Flight,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP008,Frostosaurus,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP008,Frostosaurus,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP009,Ultimate Conductor Tyranno,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP009,Ultimate Conductor Tyranno,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP010,Giant Rex,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP010,Giant Rex,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP011,Miscellaneousaurus,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP011,Miscellaneousaurus,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP012,Souleating Oviraptor,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP012,Souleating Oviraptor,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP013,Babycerasaurus,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP013,Babycerasaurus,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP014,Petiteranodon,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP014,Petiteranodon,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP015,Evolzar Solda,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP015,Evolzar Solda,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP016,Vanquish Soul Razen,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP016,Vanquish Soul Razen,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP017,Vanquish Soul Panthera,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP017,Vanquish Soul Panthera,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP018,Vanquish Soul Heavy Borger,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP018,Vanquish Soul Heavy Borger,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP019,Vanquish Soul Dr. Madlove,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP019,Vanquish Soul Dr. Madlove,"('Super Rare',)",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP020,Vanquish Soul Pluton HG,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP020,Vanquish Soul Pluton HG,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP021,Vanquish Soul Kaiser Varius,"('Ultra Rare', 'Secret Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP021,Vanquish Soul Kaiser Varius,"('Ultra Rare', 'Secret Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP022,Rock of Vanquisher,"('Common', 'Normal Parallel Rare')",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
DBWS-JP022,Rock of Vanquisher,"('Common', 'Normal Parallel Rare')",,2023-05-03 10:57:41,"('Baelgrill de Nouvelles', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",New
DBWS-JP023,Stake Your Soul!,"('Super Rare',)",,2023-03-25 07:48:08,"('Baegriller de Nouvellez', 'Transcendrake Meteoros', 'Vanquish Soul Kaiser Varius')",Old
