Card number,Set,Name,Rarity,Print,Quantity,Page URL,Modification date,Release,Set type,Cover card,Version
BLMR-EN???,Battles of Legend: Monstrous Revenge,Armed Neos,"('QCScR',)",New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Rite of Aramesir,"('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Assault Synchron,"('QCScR',)",New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Numbers Last Hope,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Odd-Eyes Rebellion Xyz Dragon,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Rokket Coder,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Extox Hydra,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Tri-Edge Master,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,"Ghost Lancer, the Underworld Spearman",,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Welcome Labrynth,"('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Cattycorn,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Dark Armed Dragon,"('QCScR',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Knightmare Corruptor Iblee,,Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
BLMR-EN???,Battles of Legend: Monstrous Revenge,Danger! Nessie!,,Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-05-03 09:47:09,2023-06-22,Booster pack,,Old
