Card number,Set,Name,Rarity,Page URL,Modification date,Release,Series,Version
23PP-JP013,Premium Pack 2023,Fissioning  Mother Spider,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_(OCG-JP),2023-03-22 17:13:04,2022-12-17,Premium Pack,Old
23PP-JP013,Premium Pack 2023,Mother Spider Splitter,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_(OCG-JP),2023-05-08 06:03:11,2022-12-17,Premium Pack,New
23PP-JP018,Premium Pack 2023,War Magus - Aakas,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_(OCG-JP),2023-03-22 17:13:04,2022-12-17,Premium Pack,Old
23PP-JP018,Premium Pack 2023,Sage of Strength - Akash,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_(OCG-JP),2023-05-08 06:03:11,2022-12-17,Premium Pack,New
23PP-JP019,Premium Pack 2023,Wisdom Magus - Himmel,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_(OCG-JP),2023-03-22 17:13:04,2022-12-17,Premium Pack,Old
23PP-JP019,Premium Pack 2023,Sage of Wisdom - Himmel,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_(OCG-JP),2023-05-08 06:03:11,2022-12-17,Premium Pack,New
RD/KP13-JP047,Oblivion of the Flash,,,https://yugipedia.com/wiki/Set_Card_Lists:Oblivion_of_the_Flash_(OCG-JP),2023-05-07 13:17:13,2023-05-13,,Old
RD/KP13-JP047,Oblivion of the Flash,Galactica Addergatling,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Oblivion_of_the_Flash_(OCG-JP),2023-05-08 10:50:32,2023-05-13,,New
RD/KP13-JP065,Oblivion of the Flash,,,https://yugipedia.com/wiki/Set_Card_Lists:Oblivion_of_the_Flash_(OCG-JP),2023-05-07 13:17:13,2023-05-13,,Old
RD/KP13-JP065,Oblivion of the Flash,Vortex of Shattered Light,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Oblivion_of_the_Flash_(OCG-JP),2023-05-08 10:50:32,2023-05-13,,New
RD/KP13-JP0??,Oblivion of the Flash,Galactica Addergatling,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Oblivion_of_the_Flash_(OCG-JP),2023-05-07 13:17:13,2023-05-13,,Old
VJMP-JP221,V Jump October 2022 promotional card,"Diabolica, Dragon Fiend Commander","('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_October_2022_promotional_card_(OCG-JP),2023-04-04 16:44:13,2022-08-20,V Jump promotional cards,Old
VJMP-JP221,V Jump promotional cards,"Diabolica, Dragon Fiend Commander","('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_promotional_cards_(OCG-JP),2023-04-21 17:06:26,,,Old
VJMP-JP221,V Jump promotional cards,Diabolica the Draconique General,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_promotional_cards_(OCG-JP),2023-05-08 05:10:39,,,New
VJMP-JP221,V Jump October 2022 promotional card,Diabolica the Draconique General,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_October_2022_promotional_card_(OCG-JP),2023-05-08 05:10:36,2022-08-20,V Jump promotional cards,New
VJMP-JP2??,V Jump promotional cards,Junk Mail,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_promotional_cards_(OCG-JP),2023-04-21 17:06:26,,,Old
VJMP-JP2??,V Jump promotional cards,Junk Dragonlet,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_promotional_cards_(OCG-JP),2023-04-21 17:06:26,,,Old
VJMP-JP2??,V Jump promotional cards,Burgundy the Magic Elf,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_promotional_cards_(OCG-JP),2023-04-21 17:06:26,,,Old
VJMP-JP2??,V Jump promotional cards,Junk Mail,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_promotional_cards_(OCG-JP),2023-05-08 05:10:39,,,New
VJMP-JP2??,V Jump promotional cards,Junk Dragonlet,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_promotional_cards_(OCG-JP),2023-05-08 05:10:39,,,New
VJMP-JP2??,V Jump promotional cards,Burgundy the Magic Elf,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:V_Jump_promotional_cards_(OCG-JP),2023-05-08 05:10:39,,,New
YO06-JP001,Yu-Gi-Oh! OCG Structures Volume 6 promotional card,Brave Beauty of Ruby Regard - Bradamante,"('Ultra Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_OCG_Structures_Volume_6_promotional_card_(OCG-JP),2023-04-02 15:24:37,2023-01-04,,Old
