Card number,Name,Rarity,Print,Modification date,Release,Version
RD/KP13-JP009,Celeb Rose Mage,"('Rare',)",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP009,Celeb Rose Mage,"('Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP010,Celeb Rose Sorcerer,"('Rare',)",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP010,Celeb Rose Sorcerer,"('Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP022,Star Replacer,"('Super Rare', 'Secret Rare')",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP022,Star Replacer,"('Super Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP022,Star Replacer,"('Secret Rare',)",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP030,Mad Rare Aquila,"('Super Rare', 'Secret Rare')",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP030,Mad Rare Aquila,"('Secret Rare',)",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP030,Mad Rare Aquila,"('Super Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP037,Blue Tooth Enhanced Burst Dragon,"('Rare',)",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP037,Blue Tooth Enhanced Burst Dragon,"('Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP038,Red Boot Enhanced Boost Dragon,"('Rare',)",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP038,Red Boot Enhanced Boost Dragon,"('Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP044,Cyber Tactical Dragon,"('Rare',)",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP044,Cyber Tactical Dragon,"('Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP057,Protection of Arthenée,"('Super Rare', 'Secret Rare')",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP057,Protection of Arthenée,"('Secret Rare',)",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP057,Protection of Arthenée,"('Super Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP066,Rice Terrace Crisis,"('Super Rare', 'Secret Rare')",,2023-05-11 10:56:21,2023-05-13,Old
RD/KP13-JP066,Rice Terrace Crisis,"('Super Rare', 'Secret Rare')",,2023-05-12 11:53:14,2023-05-13,New
RD/KP13-JP066,Rice Terrace Crisis,"('Secret Rare',)",,2023-05-12 11:53:14,2023-05-13,New
RD/P004-JP001,Blue-Eyes White Dragon,"('Secret Rare',)",,2023-04-01 07:44:43,2023-05-01,Old
RD/P004-JP001,Blue-Eyes White Dragon,"('Secret Rare',)",,2023-04-01 07:44:43,2023-05-13,New
RD/P004-JP002,Dark Magician,"('Secret Rare',)",,2023-04-01 07:48:31,2023-05-01,Old
RD/P004-JP002,Dark Magician,"('Secret Rare',)",,2023-04-01 07:48:31,2023-05-13,New
RD/P004-JP003,Red-Eyes Black Dragon,"('Secret Rare',)",,2023-04-01 07:51:51,2023-05-01,Old
RD/P004-JP003,Red-Eyes Black Dragon,"('Secret Rare',)",,2023-04-01 07:51:51,2023-05-13,New
RD/SJMP-JP028,Hallowed Light Sorcerer,"('Normal Parallel Rare',)",,2023-05-01 11:18:56,2023-06-01,Old
RD/SJMP-JP028,Hallowed Light Sorcerer,"('Normal Parallel Rare',)",,2023-05-01 11:18:56,2023-06-02,New
SD46-JP001,,,New,2023-05-12 05:34:16,2023-06-24,New
SD46-JP002,Vision Resonator,,New,2023-05-12 05:34:16,2023-06-24,New
SD46-JP003,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP004,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP005,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP006,,,Unknown,2023-05-12 05:34:16,2023-06-24,New
SD46-JP007,Red Resonator,,Reprint,2023-05-12 05:34:16,2023-06-24,New
SD46-JP008,,,Reprint,2023-05-12 05:34:16,2023-06-24,New
