Card number,Set,Name,Rarity,Print,Page URL,Modification date,Release,Version
23PP-KRB01,Premium Pack 2023 2nd Wave,Smile Potion,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,Old
23PP-KRB01,Premium Pack 2023 2nd Wave,Smile Potion,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,New
23PP-KRB02,Premium Pack 2023 2nd Wave,Chronicle Sorceress,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,Old
23PP-KRB02,Premium Pack 2023 2nd Wave,Chronicle Sorceress,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,New
23PP-KRB03,Premium Pack 2023 2nd Wave,Stardust Wurm,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,Old
23PP-KRB03,Premium Pack 2023 2nd Wave,Stardust Wurm,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,New
23PP-KRB04,Premium Pack 2023 2nd Wave,Motor Frenzy,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,Old
23PP-KRB04,Premium Pack 2023 2nd Wave,Motor Frenzy,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,New
23PP-KRB05,Premium Pack 2023 2nd Wave,Votis,,,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-11 07:31:51,2023-05-17,Old
23PP-KRB05,Premium Pack 2023 2nd Wave,Votis,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2023_2nd_Wave_(OCG-KR),2023-05-17 06:59:36,2023-05-17,New
