Card number,Set,Name,Rarity,Print,Page URL,Modification date,Series,Set type,Cover card,Version
CP19-JP000,Collection Pack: Duelist of Revolution Version,Five-Headed Dragon,"('20th Secret Rare',)",Reprint (New Art),https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP000,Collection Pack: Duelist of Revolution Version,Five-Headed Dragon,"('20th Secret Rare',)",Reprint (New Art),https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP001,Collection Pack: Duelist of Revolution Version,Ipiria,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP001,Collection Pack: Duelist of Revolution Version,Ipiria,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP002,Collection Pack: Duelist of Revolution Version,Water of Life,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP002,Collection Pack: Duelist of Revolution Version,Water of Life,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP003,Collection Pack: Duelist of Revolution Version,Gold Moon Coin,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP003,Collection Pack: Duelist of Revolution Version,Gold Moon Coin,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP004,Collection Pack: Duelist of Revolution Version,Gingerbread House,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP004,Collection Pack: Duelist of Revolution Version,Gingerbread House,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP005,Collection Pack: Duelist of Revolution Version,Vision HERO Minimum Ray,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP005,Collection Pack: Duelist of Revolution Version,Vision HERO Minimum Ray,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP006,Collection Pack: Duelist of Revolution Version,Vision HERO Multiply Guy,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP006,Collection Pack: Duelist of Revolution Version,Vision HERO Multiply Guy,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP007,Collection Pack: Duelist of Revolution Version,Vision HERO Increase,"('Super Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP007,Collection Pack: Duelist of Revolution Version,Vision HERO Increase,"('Super Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP008,Collection Pack: Duelist of Revolution Version,Vision HERO Poisoner,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP008,Collection Pack: Duelist of Revolution Version,Vision HERO Poisoner,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP009,Collection Pack: Duelist of Revolution Version,Vision HERO Gravito,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP009,Collection Pack: Duelist of Revolution Version,Vision HERO Gravito,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP010,Collection Pack: Duelist of Revolution Version,Vision HERO Faris,"('Ultra Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP010,Collection Pack: Duelist of Revolution Version,Vision HERO Faris,"('Ultra Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP011,Collection Pack: Duelist of Revolution Version,Vision Release,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP011,Collection Pack: Duelist of Revolution Version,Vision Release,"('Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP012,Collection Pack: Duelist of Revolution Version,Vision Fusion,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP012,Collection Pack: Duelist of Revolution Version,Vision Fusion,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP013,Collection Pack: Duelist of Revolution Version,Apparition,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP013,Collection Pack: Duelist of Revolution Version,Apparition,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP014,Collection Pack: Duelist of Revolution Version,Elemental HERO Avian,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP014,Collection Pack: Duelist of Revolution Version,Elemental HERO Avian,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP015,Collection Pack: Duelist of Revolution Version,Elemental HERO Burstinatrix,"('Normal Rare',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP015,Collection Pack: Duelist of Revolution Version,Elemental HERO Burstinatrix,"('Normal Rare',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP016,Collection Pack: Duelist of Revolution Version,Elemental HERO Sparkman,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP016,Collection Pack: Duelist of Revolution Version,Elemental HERO Sparkman,"('Common',)",Reprint,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP017,Collection Pack: Duelist of Revolution Version,Fortune Fairy Hikari,"('Super Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP017,Collection Pack: Duelist of Revolution Version,Fortune Fairy Hikari,"('Super Rare', 'Collectors Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP018,Collection Pack: Duelist of Revolution Version,Fortune Fairy En,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP018,Collection Pack: Duelist of Revolution Version,Fortune Fairy En,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP019,Collection Pack: Duelist of Revolution Version,Fortune Fairy Hu,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP019,Collection Pack: Duelist of Revolution Version,Fortune Fairy Hu,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP020,Collection Pack: Duelist of Revolution Version,Fortune Fairy Swee,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP020,Collection Pack: Duelist of Revolution Version,Fortune Fairy Swee,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
CP19-JP021,Collection Pack: Duelist of Revolution Version,Fortune Fairy Ann,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collection Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",Old
CP19-JP021,Collection Pack: Duelist of Revolution Version,Fortune Fairy Ann,"('Common',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Collection_Pack:_Duelist_of_Revolution_Version_(OCG-JP),2023-03-22 16:53:20,Collectors Pack,Booster pack,"('Battlewasp - Hama the Conquering Bow', 'Number 97: Draglubion', 'Vision HERO Increase')",New
