Card number,Set,Name,Rarity,Print,Page URL,Modification date,Set type,Version
23TP-JP301,Tournament Pack 2023 Vol.3,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP302,Tournament Pack 2023 Vol.3,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP303,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP304,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP305,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP306,Tournament Pack 2023 Vol.3,Fire Flint Lady,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP307,Tournament Pack 2023 Vol.3,Chronograph Sorcerer,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP308,Tournament Pack 2023 Vol.3,Performapal Celestial Magician,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP309,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP310,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP311,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP312,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP313,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP314,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP315,Tournament Pack 2023 Vol.3,Xyz Block,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
23TP-JP316,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,Booster pack,New
AC03-JP001,Animation Chronicle 2023,Eye of Illusion,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP001,Animation Chronicle 2023,Eye of Illusion,"('Super Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
AC03-JP002,Animation Chronicle 2023,Kaitoptera,,New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,Booster pack,Old
AC03-JP002,Animation Chronicle 2023,Kaitoptera,"('Normal Parallel Rare', 'Secret Rare')",New,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-09 09:57:54,Booster pack,New
