Card number,Set,Name,Rarity,Print,Page URL,Modification date,Release,Series,Set type,Version
23PR-JP004,Promotion Pack 2023,Yoko-Tuner-Tug-of-War,"('Normal Parallel Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Promotion_Pack_2023_(OCG-JP),2023-03-22 17:13:14,2022-12-17,,Booster pack,Old
23PR-JP004,Promotion Pack 2023,"Don't Slip, the Dogs of War","('Normal Parallel Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Promotion_Pack_2023_(OCG-JP),2023-06-12 16:14:59,2022-12-17,,Booster pack,New
23PR-JP005,Promotion Pack 2023,Rainbowlution Lab,"('Normal Parallel Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Promotion_Pack_2023_(OCG-JP),2023-03-22 17:13:14,2022-12-17,,Booster pack,Old
23PR-JP005,Promotion Pack 2023,RGB Rainbowlution,"('Normal Parallel Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Promotion_Pack_2023_(OCG-JP),2023-06-12 16:14:59,2022-12-17,,Booster pack,New
23TP-JP304,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,2023-07-01,,Booster pack,Old
23TP-JP304,Tournament Pack 2023 Vol.3,Wattgiraffe,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-16 05:38:06,2023-07-01,,Booster pack,New
23TP-JP310,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,2023-07-01,,Booster pack,Old
23TP-JP310,Tournament Pack 2023 Vol.3,Watthydra,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-16 05:38:06,2023-07-01,,Booster pack,New
23TP-JP311,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,2023-07-01,,Booster pack,Old
23TP-JP311,Tournament Pack 2023 Vol.3,Red Wyvern,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-16 05:38:06,2023-07-01,,Booster pack,New
23TP-JP314,Tournament Pack 2023 Vol.3,,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-08 08:05:58,2023-07-01,,Booster pack,Old
23TP-JP314,Tournament Pack 2023 Vol.3,Ogdoadic Water Lily,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-16 05:38:06,2023-07-01,,Booster pack,New
23TP-JP317,Tournament Pack 2023 Vol.3,Salamangreat Violet Chimera,"('Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-16 05:38:06,2023-07-01,,Booster pack,New
AGOV-JP001,Age of Overlord,Supreme King Gate Magician,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP001,Age of Overlord,Supreme King Gate Magician,"('Super Rare', 'Secret Rare', 'QCScR')",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP002,Age of Overlord,Supreme King Dragon Lightwurm,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP002,Age of Overlord,Supreme King Dragon Lightwurm,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP014,Age of Overlord,"Qebehsenuef, Aegis of Horus",,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP014,Age of Overlord,"Qebehsenuef, Aegis of Horus","('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP015,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP015,Age of Overlord,Wattuna,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP016,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP016,Age of Overlord,"Neferabyss, the Ogdoadic Overlord",,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP018,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP018,Age of Overlord,Vanquish Soul Jiaolong,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP019,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP019,Age of Overlord,Poissoniere de Nouvelles,"('Super Rare', 'Secret Rare', 'QCScR')",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP038,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP038,Age of Overlord,Wattaurus,"('Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP044,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP044,Age of Overlord,Transcendosaurus Exaraptor,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP047,Age of Overlord,Pendulum Evolution,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP047,Age of Overlord,Pendulum Evolution,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP048,Age of Overlord,The Light-Winged Dragon,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP048,Age of Overlord,The Light-Winged Dragon,"('Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP058,Age of Overlord,Pharaonic Sarcophagus,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP058,Age of Overlord,Pharaonic Sarcophagus,"('Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP062,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP062,Age of Overlord,Wattkingdom,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP063,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP063,Age of Overlord,Ogdoadic Dawn of Creation,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP064,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP064,Age of Overlord,Concours de Cuisine,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP068,Age of Overlord,Miracle of the Supreme King,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP068,Age of Overlord,Miracle of the Supreme King,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP069,Age of Overlord,Soul of the Supreme Celestial King,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP069,Age of Overlord,Soul of the Supreme Celestial King,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP076,Age of Overlord,Canopic Protector,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP076,Age of Overlord,Canopic Protector,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
AGOV-JP078,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-12 03:57:33,2023-07-22,Core Booster,Booster pack,Old
AGOV-JP078,Age of Overlord,Vanquish Soul Snow Devil,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-06-18 12:13:59,2023-07-22,Core Booster,Booster pack,New
BLMR-EN001,Battles of Legend: Monstrous Revenge,Dark Magician the Knight of Dragon Magic,"('Secret Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN002,Battles of Legend: Monstrous Revenge,Armed Neos,"('Secret Rare', 'QCScR')",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN003,Battles of Legend: Monstrous Revenge,Assault Synchron,"('Secret Rare', 'QCScR')",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN004,Battles of Legend: Monstrous Revenge,Numbers Last Hope,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN005,Battles of Legend: Monstrous Revenge,Odd-Eyes Rebellion Xyz Dragon,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN006,Battles of Legend: Monstrous Revenge,Rokket Coder,"('Secret Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN007,Battles of Legend: Monstrous Revenge,Extox Hydra,"('Secret Rare', 'QCScR')",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN008,Battles of Legend: Monstrous Revenge,Tri-Edge Master,"('Secret Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN009,Battles of Legend: Monstrous Revenge,Daidaratant the Ooze Giant,"('Secret Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN010,Battles of Legend: Monstrous Revenge,"Don't Slip, the Dogs of War","('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN011,Battles of Legend: Monstrous Revenge,RGB Rainbowlution,"('Secret Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN012,Battles of Legend: Monstrous Revenge,Elemental HERO Flame Wingman - Infernal Rage,"('Secret Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN013,Battles of Legend: Monstrous Revenge,Link Decoder,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN014,Battles of Legend: Monstrous Revenge,Courageous Crimson Chevalier Bradamante,"('Secret Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN015,Battles of Legend: Monstrous Revenge,Puppet Pawn,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN016,Battles of Legend: Monstrous Revenge,Puppet Rook,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN017,Battles of Legend: Monstrous Revenge,Promotion,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN018,Battles of Legend: Monstrous Revenge,Battlefield Tragedy,"('Secret Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN019,Battles of Legend: Monstrous Revenge,Black Mamba,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN020,Battles of Legend: Monstrous Revenge,"Urubonus, the Avatar of Malice","('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN021,Battles of Legend: Monstrous Revenge,Lamia,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN022,Battles of Legend: Monstrous Revenge,Viper's Grudge,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN023,Battles of Legend: Monstrous Revenge,"Ghost Lancer, the Underworld Spearman","('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN024,Battles of Legend: Monstrous Revenge,"Ghost Sleeper, the Underworld Princess","('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN025,Battles of Legend: Monstrous Revenge,"Ghost Wyvern, the Underworld Dragon","('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN026,Battles of Legend: Monstrous Revenge,Ghost Fusion,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN027,Battles of Legend: Monstrous Revenge,Xyz Bento,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN028,Battles of Legend: Monstrous Revenge,Performapal Odd-Eyes Butler,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN029,Battles of Legend: Monstrous Revenge,Performapal Odd-Eyes Valet,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
BLMR-EN030,Battles of Legend: Monstrous Revenge,Performapal Barokuriboh,"('Ultra Rare',)",New,https://yugipedia.com/wiki/Set_Card_Lists:Battles_of_Legend:_Monstrous_Revenge_(TCG-EN),2023-06-19 00:25:24,2023-06-22,Battles of Legend,Booster pack,New
