Card number,Name,Rarity,Print,Modification date,Release,Series,Set type,Cover card,Version
2020-EN003,Skyfaring Castle of the Black Forest,"('Ultra Rare',)",,2023-03-23 12:11:40,,,,,Old
2020-EN003,Skyfaring Castle of the Black Forest,"('Ultra Rare',)",,2023-03-23 12:11:40,2019-12-01,,Promotional card,,New
2020-EN004,"Kaiser Eagle, the Heavens' Mandate","('Ultra Rare',)",,2023-03-23 12:11:40,,,,,Old
2020-EN004,"Kaiser Eagle, the Heavens' Mandate","('Ultra Rare',)",,2023-03-23 12:11:40,2019-12-01,,Promotional card,,New
23TP-JP303,,"('Common',)",,2023-06-16 05:38:06,2023-07-01,,Booster pack,,Old
23TP-JP303,Manju of the Ten Thousand Hands,"('Common',)",,2023-06-22 08:14:04,2023-07-01,,Booster pack,,New
23TP-JP305,,"('Common',)",,2023-06-16 05:38:06,2023-07-01,,Booster pack,,Old
23TP-JP305,The Immortal Bushi,"('Common',)",,2023-06-22 08:14:04,2023-07-01,,Booster pack,,New
23TP-JP309,,"('Common',)",,2023-06-16 05:38:06,2023-07-01,,Booster pack,,Old
23TP-JP309,"Gaia Drake, the Universal Force","('Common',)",,2023-06-22 08:14:04,2023-07-01,,Booster pack,,New
23TP-JP313,,"('Common',)",,2023-06-16 05:38:06,2023-07-01,,Booster pack,,Old
23TP-JP313,Trade-In,"('Common',)",,2023-06-22 08:14:04,2023-07-01,,Booster pack,,New
BLMR-DE001,Dark Magician the Knight of Dragon Magic,"('Secret Rare', 'QCScR')",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE002,Armed Neos,"('Secret Rare', 'QCScR')",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
BLMR-DE003,Assault Synchron,"('Secret Rare', 'QCScR')",New,2023-06-22 12:43:40,2023-06-22,Battles of Legend,Booster pack,"('Armed Neos', 'Cattycorn', 'Dark Magician the Knight of Dragon Magic', 'Extox Hydra', 'Ghost Lancer, the Underworld Spearman', 'Odd-Eyes Rebellion Xyz Dragon')",New
