Card number,Set,Name,Rarity,Page URL,Modification date,Release,Series,Set type,Version
2019-JPP01,Yu-Gi-Oh! World Championship 2019 attendance cards,Red-Eyes B. Dragon,"('Millennium Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_World_Championship_2019_attendance_cards_(OCG-JP),2023-04-28 14:10:40,2019-08-10,,Promotional card,Old
2019-JPP01,Yu-Gi-Oh! World Championship 2019 attendance cards,Red-Eyes Black Dragon,"('Millennium Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_World_Championship_2019_attendance_cards_(OCG-JP),2023-06-26 08:58:42,2019-08-10,,Promotional card,New
2019-KRTKN1,Yu-Gi-Oh! World Championship 2019 Korean National Qualifiers Finals participation card,Token,"('Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_World_Championship_2019_Korean_National_Qualifiers_Finals_participation_card_(OCG-KR),2023-07-02 10:10:01,2019-06-30,,Promotional card,New
2023-JPP01,Yu-Gi-Oh! World Championship 2023 attendance cards,Dark Magician Girl,"('Quarter Century Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_World_Championship_2023_attendance_cards_(OCG-JP),2023-06-26 13:44:16,2023-08-06,,Promotional card,New
2023-JPP02,Yu-Gi-Oh! World Championship 2023 attendance cards,Magic Cylinder,"('Quarter Century Secret Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_World_Championship_2023_attendance_cards_(OCG-JP),2023-06-26 13:44:16,2023-08-06,,Promotional card,New
23TP-JP301,Tournament Pack 2023 Vol.3,,"('Super Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-22 08:14:04,2023-07-01,,Booster pack,Old
23TP-JP301,Tournament Pack 2023 Vol.3,Battlin' Boxer Lead Yoke,"('Super Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-07-01 00:14:25,2023-07-01,,Booster pack,New
23TP-JP302,Tournament Pack 2023 Vol.3,,"('Super Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-22 08:14:04,2023-07-01,,Booster pack,Old
23TP-JP302,Tournament Pack 2023 Vol.3,Transcode Talker,"('Super Rare',)",https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-07-01 00:14:25,2023-07-01,,Booster pack,New
23TP-JP312,Tournament Pack 2023 Vol.3,,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-06-22 08:14:04,2023-07-01,,Booster pack,Old
23TP-JP312,Tournament Pack 2023 Vol.3,Slacker Magician,"('Common',)",https://yugipedia.com/wiki/Set_Card_Lists:Tournament_Pack_2023_Vol.3_(OCG-JP),2023-07-01 00:14:25,2023-07-01,,Booster pack,New
