Card number,Name,Rarity,Modification date,Version
DUNE-EN037,,,2023-07-11 15:06:20,Old
DUNE-EN037,Cosmic Quasar Dragon,"('Ultra Rare', 'Quarter Century Secret Rare')",2023-07-12 15:04:25,New
DUNE-EN050,,,2023-07-11 15:06:20,Old
DUNE-EN050,Synchro Overtop,,2023-07-12 15:04:25,New
DUNE-EN051,,,2023-07-11 15:06:20,Old
DUNE-EN051,Synchro World,,2023-07-12 15:04:25,New
DUNE-EN062,,,2023-07-11 15:06:20,Old
DUNE-EN062,Duelist Genesis,,2023-07-12 15:04:25,New
DUNE-EN068,,,2023-07-11 15:06:20,Old
DUNE-EN068,Scrap-Iron Sacred Statue,,2023-07-12 15:04:25,New
DUNE-EN094,,,2023-07-11 15:06:20,Old
DUNE-EN094,Stardust Wurm,,2023-07-12 15:04:25,New
DUNE-JP050,Synchro Over Top,"('Rare',)",2023-07-11 15:19:56,Old
DUNE-JP050,Synchro Overtop,"('Rare',)",2023-07-12 15:16:08,New
DUNE-JP068,Scrap-Iron Idol,"('Common',)",2023-07-11 15:19:56,Old
DUNE-JP068,Scrap-Iron Sacred Statue,"('Common',)",2023-07-12 15:16:08,New
DUNE-KR050,Synchro Over Top,"('Rare',)",2023-07-11 15:20:07,Old
DUNE-KR050,Synchro Overtop,"('Rare',)",2023-07-12 15:16:10,New
DUNE-KR068,Scrap-Iron Idol,"('Common',)",2023-07-11 15:20:07,Old
DUNE-KR068,Scrap-Iron Sacred Statue,"('Common',)",2023-07-12 15:16:10,New
