Card number,Set,Name,Rarity,Print,Page URL,Modification date,Release,Series,Set type,Cover card,Version
23HP-JA101,Hidden Chapter Pack 2023 Vol.2,Thunder King Rai-Oh,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA101,Hidden Chapter Pack 2023 Vol.2,Thunder King Rai-Oh,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA101,Hidden Chapter Pack 2023 Vol.2,Thunder King Rai-Oh,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA101,Hidden Chapter Pack 2023 Vol.2,Thunder King Rai-Oh,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA102,Hidden Chapter Pack 2023 Vol.2,Ido the Supreme Magical Force,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA102,Hidden Chapter Pack 2023 Vol.2,Ido the Supreme Magical Force,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA102,Hidden Chapter Pack 2023 Vol.2,Ido the Supreme Magical Force,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA102,Hidden Chapter Pack 2023 Vol.2,Ido the Supreme Magical Force,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA103,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA103,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA103,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA103,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA104,Hidden Chapter Pack 2023 Vol.2,Hot Red Dragon Archfiend,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA104,Hidden Chapter Pack 2023 Vol.2,Hot Red Dragon Archfiend,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA104,Hidden Chapter Pack 2023 Vol.2,Hot Red Dragon Archfiend,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA104,Hidden Chapter Pack 2023 Vol.2,Hot Red Dragon Archfiend,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA105,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA105,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA105,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA105,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA106,Hidden Chapter Pack 2023 Vol.2,Number 58: Burner Visor,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA106,Hidden Chapter Pack 2023 Vol.2,Number 58: Burner Visor,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
23HP-JA106,Hidden Chapter Pack 2023 Vol.2,Number 58: Burner Visor,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,Old
