Card number,Region,Modification date,Release,Version
RD/S23P-JP005,JP,2023-07-24 06:09:33,2023-08-01,New
RD/SJMP-JP030,JP,2023-07-03 19:53:19,2023-08-01,Old
RD/SJMP-JP030,JP,2023-07-03 19:53:19,2023-08-04,New
RD/VSP1-KR001,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR002,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR003,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR004,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR005,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR006,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR007,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR008,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR009,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR010,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR011,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR012,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR013,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR014,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR015,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR016,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR017,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR018,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR019,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR020,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR021,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR022,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR023,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR024,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR025,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR026,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR027,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR028,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR029,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR030,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR031,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR032,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR033,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR034,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR035,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR036,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR037,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR038,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR039,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR040,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR041,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR042,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR043,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR044,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR045,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR046,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR047,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR048,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR049,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR050,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR051,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR052,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR053,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR054,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR055,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR056,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR057,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR058,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR059,KR,2023-07-24 06:18:22,2023-07-18,New
RD/VSP1-KR060,KR,2023-07-24 06:18:22,2023-07-18,New
bird,,2023-07-22 23:08:56,,Old
bird,,2023-07-22 23:08:56,,New
number,,2023-07-22 23:08:56,,Old
number,,2023-07-22 23:08:56,,New
