Card number,Name,Rarity,Print,Region,Modification date,Release,Series,Set type,Version
AC01-KR000,Number 17: Leviathan Dragon,"('Prismatic Secret Rare',)",Reprint,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR001,Kuribah,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR002,Kuribee,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR003,Kuriboo,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR004,Kuribeh,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR005,Kuribabylon,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR006,Five Star Twilight,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR007,Yowie,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR008,Penguin Sword,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR009,D - Force,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR010,Doctor D,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR011,Dragonroid,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR012,Rebirth Judgment,"('Ultra Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR013,Ice Barrier,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR014,Ice Knight,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR015,Summon Storm,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR016,Wing Requital,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR017,Noble Knight's Shield-Bearer,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR018,Horse of the Floral Knights,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR019,Noble Knight's Spearholder,"('Common', 'Normal Parallel Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
AC01-KR020,Centaur Mina,"('Super Rare', 'Secret Rare')",New,KR,2023-07-30 13:09:04,2021-09-10,Animation Chronicle,Booster pack,New
