Card number,Set,Name,Rarity,Print,Region,Page URL,Modification date,Release,Series,Set type,Cover card,Version
2023-EN001,Yu-Gi-Oh! World Championship 2023 prize cards,"Masterful Magician, Servant of the Sanctuary","('Extra Secret Rare',)",,EN,https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_World_Championship_2023_prize_cards_(TCG-EN),2023-08-06 12:26:54,2023-08-06,Yu-Gi-Oh! World Championship prize cards,Prize card,,New
2023-EN002,Yu-Gi-Oh! World Championship 2023 prize cards,Gatebridgeo the Waterfront Warbeast,"('Extra Secret Rare',)",,EN,https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_World_Championship_2023_prize_cards_(TCG-EN),2023-08-06 12:26:54,2023-08-06,Yu-Gi-Oh! World Championship prize cards,Prize card,,New
2023-JPD04,Legendary Dragon of White/Legendary Magician of Dark Duel Set,Legendary Dragon of White,"('Secret Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Legendary_Dragon_of_White/Legendary_Magician_of_Dark_Duel_Set_(OCG-JP),2023-08-05 21:39:06,2023-08-06,,Promotional card,,New
2023-JPD05,Legendary Dragon of White/Legendary Magician of Dark Duel Set,Legendary Magician of Dark,"('Secret Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Legendary_Dragon_of_White/Legendary_Magician_of_Dark_Duel_Set_(OCG-JP),2023-08-05 21:39:06,2023-08-06,,Promotional card,,New
711C-JP001,Yu-Gi-Oh! Card Game x 7-Eleven Collaboration Campaign,Dark Magician,"('Normal Parallel Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Card_Game_x_7-Eleven_Collaboration_Campaign_(OCG-JP),2023-08-02 08:47:56,2023-08-03,,Promotional card,,New
711C-JP002,Yu-Gi-Oh! Card Game x 7-Eleven Collaboration Campaign,Buster Blader,"('Normal Parallel Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Card_Game_x_7-Eleven_Collaboration_Campaign_(OCG-JP),2023-08-02 08:47:56,2023-08-03,,Promotional card,,New
711C-JP003,Yu-Gi-Oh! Card Game x 7-Eleven Collaboration Campaign,Dark Paladin,"('Normal Parallel Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Card_Game_x_7-Eleven_Collaboration_Campaign_(OCG-JP),2023-08-02 08:47:56,2023-08-03,,Promotional card,,New
711C-JP004,Yu-Gi-Oh! Card Game x 7-Eleven Collaboration Campaign,Marshmallon,"('Normal Parallel Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Yu-Gi-Oh!_Card_Game_x_7-Eleven_Collaboration_Campaign_(OCG-JP),2023-08-02 08:47:56,2023-08-03,,Promotional card,,New
????-JP???,Legendary Magician of Dark Duel Set,Legendary Magician of Dark,"('Secret Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Legendary_Magician_of_Dark_Duel_Set_(OCG-JP),2023-06-26 08:40:32,2023-08-06,,Promotional card,,Old
????-JP???,Legendary Dragon of White Duel Set,Legendary Dragon of White,"('Secret Rare',)",,JP,https://yugipedia.com/wiki/Set_Card_Lists:Legendary_Dragon_of_White_Duel_Set_(OCG-JP),2023-06-26 08:37:54,2023-08-06,,Promotional card,,Old
