Card number,Name,Rarity,Print,Region,Modification date,Release,Set type,Cover card,Version
2010-EN001,Stardust Divinity,"('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2010-EN002,"Grizzly, the Red Star Beast","('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2011-EN001,King Landia the Goldfang,"('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2011-EN002,Queen Nereia the Silvercrown,"('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2012-EN001,Legendary Dragon of White,"('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2012-EN002,Legendary Magician of Dark,"('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2013-EN001,"Grandopolis, The Eternal Golden City","('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2013-EN002,E☆HERO Pit Boss,"('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2014-EN001,"The Twin Kings, Founders of the Empire","('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2014-EN002,Leonardo's Silver Skyship,"('Ultra Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2015-EN001,"Kuzunoha, the Onmyojin","('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2015-EN002,"Sakyo, Swordmaster of the Far East","('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2016-EN001,"Juno, the Celestial Goddess","('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2016-EN002,"Shelga, the Tri-Warlord","('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2017-EN001,Sanctity of Dragon,"('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2017-EN002,Iron Knight of Revolution,"('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2018-EN001,Noritoshi in Darkest Rainment,"('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2018-EN002,Amatsu-Okami of the Divine Peaks,"('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2019-EN001,"Kaiser Eagle, the Heavens' Mandate","('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2019-EN002,Skyfaring Castle of the Black Forest,"('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2023-EN001,"Masterful Magician, Servant of the Sanctuary","('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
2023-EN002,Gatebridgeo the Waterfront Warbeast,"('Extra Secret Rare',)",,EN,2023-08-09 12:11:30,,Prize card,,New
23YA-JP001,Gaia The Fierce Knight,"('Quarter Century Secret Rare',)",,JP,2023-08-10 06:15:21,2023-08-12,Prize card,,New
23YJ-JPT02,Lil-la-Rap,"('Ultra Parallel Rare',)",,JP,2023-05-26 21:56:02,2023-05-28,Promotional card,,Old
23YJ-JPT02,Lil-la Rap,"('Ultra Parallel Rare',)",,JP,2023-08-10 07:28:16,2023-05-28,Promotional card,,New
????-JP???,Gaia The Fierce Knight,"('Quarter Century Secret Rare',)",,JP,2023-07-08 13:27:35,2023-08-12,Prize card,,Old
DBVS-JP001,"Mementoral Tectolica, the Netherskull Dragon","('Ultra Rare',)",New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP001,"Mementoral Tecuhtlica, the Netherskull Dragon","('Ultra Rare',)",New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP002,Memento Horn Dragon,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP002,Memento Horn Dragon,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP003,Memento Tatsunootoshigo,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP003,Memento Tatsunootoshigo,"('Super Rare',)",New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP004,,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP004,Memento Dark Blade,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP005,Memento Fairywitch,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP005,Memento Fairywitch,"('Super Rare',)",New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP006,Memento Mace,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP006,Memento Mace,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP007,Memento Goblin,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP007,Memento Goblin,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP008,Netherskull Temple - Mementoran,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP008,Netherskull Temple - Mementolan,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP009,Memento Bone Party,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
DBVS-JP009,Memento Bone Party,,New,JP,2023-08-12 13:08:47,2023-08-26,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP010,Memento Bone Back,,New,JP,2023-08-04 13:33:09,2023-08-26,Booster pack,"('Angelo Valmonica', 'Demone Valmonica', 'Mementoral Tectolica, the Netherskull Dragon')",Old
