Card number,Set,Name,Rarity,Print,Quantity,Page URL,Modification date,Release,Series,Set type,Cover card,Version
DBVS-JP016,Deck Build Pack: Valiant Smashers,Centurion Primera,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-12 13:08:47,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",Old
DBVS-JP016,Deck Build Pack: Valiant Smashers,Centurion Primera,"('Super Rare',)",New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-20 12:05:02,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP017,Deck Build Pack: Valiant Smashers,Centurion Trudea,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-12 13:08:47,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",Old
DBVS-JP017,Deck Build Pack: Valiant Smashers,Centurion Trudea,"('Super Rare',)",New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-20 12:05:02,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP018,Deck Build Pack: Valiant Smashers,Centurion Emet VI,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-12 13:08:47,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",Old
DBVS-JP018,Deck Build Pack: Valiant Smashers,Centurion Emet VI,"('Common', 'Normal Parallel Rare')",New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-20 12:05:02,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP019,Deck Build Pack: Valiant Smashers,Centurion Legatia,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-12 13:08:47,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",Old
DBVS-JP019,Deck Build Pack: Valiant Smashers,Centurion Legatia,"('Super Rare',)",New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-20 12:05:02,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
DBVS-JP020,Deck Build Pack: Valiant Smashers,Stand-Up Centurion!,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-12 13:08:47,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",Old
DBVS-JP020,Deck Build Pack: Valiant Smashers,Stand-Up Centurion!,"('Super Rare',)",New,,https://yugipedia.com/wiki/Set_Card_Lists:Deck_Build_Pack:_Valiant_Smashers_(OCG-JP),2023-08-20 12:05:02,2023-08-26,Deck Build Pack,Booster pack,"('Angelo Valmonica', 'Centurion Emet VI', 'Demone Valmonica', 'Mementoral Tecuhtlica, the Netherskull Dragon')",New
