Card number,Name,Rarity,Print,Modification date,Version
CL03-SC004,,,,2022-11-07 13:43:33,Old
CL03-SC004,,,,2022-11-07 13:43:33,New
CL03-SC005,,,,2022-11-07 13:43:33,Old
CL03-SC005,,,,2022-11-07 13:43:33,New
CL03-SC006,,,,2022-11-07 13:43:33,Old
CL03-SC006,,,,2022-11-07 13:43:33,New
CL03-SC007,,,,2022-11-07 13:43:33,Old
CL03-SC007,,,,2022-11-07 13:43:33,New
CL03-SC008,,,,2022-11-07 13:43:33,Old
CL03-SC008,,,,2022-11-07 13:43:33,New
CL03-SC012,,,,2022-11-07 13:43:33,Old
CL03-SC012,,,,2022-11-07 13:43:33,New
CL03-SC013,,,,2022-11-07 13:43:33,Old
CL03-SC013,,,,2022-11-07 13:43:33,New
CL03-SC014,,,,2022-11-07 13:43:33,New
CL03-SC014,,,,2022-11-07 13:43:33,Old
CL03-SC015,,,,2022-11-07 13:43:33,New
CL03-SC015,,,,2022-11-07 13:43:33,Old
CL03-SC017,,,,2022-11-07 13:43:33,New
CL03-SC017,,,,2022-11-07 13:43:33,Old
CL03-SC018,,,,2022-11-07 13:43:33,New
CL03-SC018,,,,2022-11-07 13:43:33,Old
CL03-SC019,,,,2022-11-07 13:43:33,Old
CL03-SC019,,,,2022-11-07 13:43:33,New
CL03-SC020,,,,2022-11-07 13:43:33,Old
CL03-SC020,,,,2022-11-07 13:43:33,New
CL03-SC022,,,,2022-11-07 13:43:33,Old
CL03-SC022,,,,2022-11-07 13:43:33,New
CL03-SC025,,,,2022-11-07 13:43:33,Old
CL03-SC025,,,,2022-11-07 13:43:33,New
CL03-SC026,,,,2022-11-07 13:43:33,New
CL03-SC026,,,,2022-11-07 13:43:33,Old
CL03-SC027,,,,2022-11-07 13:43:33,Old
CL03-SC027,,,,2022-11-07 13:43:33,New
CL03-SC028,,,,2022-11-07 13:43:33,New
CL03-SC028,,,,2022-11-07 13:43:33,Old
CL03-SC029,,,,2022-11-07 13:43:33,Old
CL03-SC029,,,,2022-11-07 13:43:33,New
CL03-SC030,,,,2022-11-07 13:43:33,New
CL03-SC030,,,,2022-11-07 13:43:33,Old
CL03-SC031,,,,2022-11-07 13:43:33,Old
CL03-SC031,Rainbow Neos,"('Prismatic Secret Rare',)",New,2022-11-07 13:43:33,New
CL03-SC032,Elemental HERO Nebula Neos,"('Secret Rare',)",New,2022-11-07 13:43:33,New
CL03-SC032,,,,2022-11-07 13:43:33,Old
CL03-SC033,,,,2022-11-07 13:43:33,Old
CL03-SC033,,,,2022-11-07 13:43:33,New
CL03-SC034,,,,2022-11-07 13:43:33,Old
CL03-SC034,,,,2022-11-07 13:43:33,New
CL03-SC036,,,,2022-11-07 13:43:33,New
CL03-SC036,,,,2022-11-07 13:43:33,Old
CL03-SC037,,,,2022-11-07 13:43:33,Old
CL03-SC037,,,,2022-11-07 13:43:33,New
CL03-SC038,,,,2022-11-07 13:43:33,Old
CL03-SC038,,,,2022-11-07 13:43:33,New
CL03-SC039,,,,2022-11-07 13:43:33,New
CL03-SC039,,,,2022-11-07 13:43:33,Old
CL03-SC041,,,,2022-11-07 13:43:33,New
CL03-SC041,,,,2022-11-07 13:43:33,Old
CL03-SC043,,,,2022-11-07 13:43:33,Old
CL03-SC043,,,,2022-11-07 13:43:33,New
CL03-SC044,,,,2022-11-07 13:43:33,New
CL03-SC044,,,,2022-11-07 13:43:33,Old
CL03-SC045,,,,2022-11-07 13:43:33,Old
CL03-SC045,,,,2022-11-07 13:43:33,New
CL03-SC047,,,,2022-11-07 13:43:33,New
CL03-SC047,,,,2022-11-07 13:43:33,Old
CL03-SC048,,,,2022-11-07 13:43:33,Old
CL03-SC048,,,,2022-11-07 13:43:33,New
CL03-SC049,,,,2022-11-07 13:43:33,Old
CL03-SC049,,,,2022-11-07 13:43:33,New
CL03-SC050,,,,2022-11-07 13:43:33,New
CL03-SC050,,,,2022-11-07 13:43:33,Old
CL03-SC051,,,,2022-11-07 13:43:33,New
CL03-SC051,,,,2022-11-07 13:43:33,Old
CL03-SC052,,,,2022-11-07 13:43:33,New
CL03-SC052,,,,2022-11-07 13:43:33,Old
CL03-SC054,,,,2022-11-07 13:43:33,New
CL03-SC054,,,,2022-11-07 13:43:33,Old
CL03-SC055,,,,2022-11-07 13:43:33,New
CL03-SC055,,,,2022-11-07 13:43:33,Old
CL03-SC056,,,,2022-11-07 13:43:33,Old
CL03-SC056,,,,2022-11-07 13:43:33,New
CL03-SC057,,,,2022-11-07 13:43:33,Old
CL03-SC057,,,,2022-11-07 13:43:33,New
CL03-SC059,,,,2022-11-07 13:43:33,New
CL03-SC059,,,,2022-11-07 13:43:33,Old
CL03-SC061,,,,2022-11-07 13:43:33,New
CL03-SC061,,,,2022-11-07 13:43:33,Old
CL03-SC062,,,,2022-11-07 13:43:33,New
CL03-SC062,,,,2022-11-07 13:43:33,Old
CL03-SC063,,,,2022-11-07 13:43:33,Old
CL03-SC063,,,,2022-11-07 13:43:33,New
CL03-SC066,,,,2022-11-07 13:43:33,Old
CL03-SC066,,,,2022-11-07 13:43:33,New
CL03-SC067,,,,2022-11-07 13:43:33,New
CL03-SC067,,,,2022-11-07 13:43:33,Old
CL03-SC068,,,,2022-11-07 13:43:33,New
CL03-SC068,,,,2022-11-07 13:43:33,Old
CL03-SC069,,,,2022-11-07 13:43:33,Old
CL03-SC069,,,,2022-11-07 13:43:33,New
CL03-SC070,,,,2022-11-07 13:43:33,Old
CL03-SC070,,,,2022-11-07 13:43:33,New
CL03-SC071,,,,2022-11-07 13:43:33,Old
CL03-SC071,,,,2022-11-07 13:43:33,New
CL03-SC072,,,,2022-11-07 13:43:33,Old
CL03-SC072,,,,2022-11-07 13:43:33,New
CL03-SC073,,,,2022-11-07 13:43:33,New
CL03-SC073,,,,2022-11-07 13:43:33,Old
CL03-SC074,,,,2022-11-07 13:43:33,New
CL03-SC074,,,,2022-11-07 13:43:33,Old
CL03-SC075,,,,2022-11-07 13:43:33,Old
CL03-SC075,,,,2022-11-07 13:43:33,New
CL03-SC076,,,,2022-11-07 13:43:33,Old
CL03-SC076,,,,2022-11-07 13:43:33,New
CL03-SC077,,,,2022-11-07 13:43:33,New
CL03-SC077,,,,2022-11-07 13:43:33,Old
CL03-SC078,,,,2022-11-07 13:43:33,New
CL03-SC078,,,,2022-11-07 13:43:33,Old
CL03-SC079,,,,2022-11-07 13:43:33,New
CL03-SC079,,,,2022-11-07 13:43:33,Old
CL03-SC080,,,,2022-11-07 13:43:33,Old
CL03-SC080,,,,2022-11-07 13:43:33,New
CL03-SC081,,,,2022-11-07 13:43:33,Old
CL03-SC081,,,,2022-11-07 13:43:33,New
CL03-SC082,,,,2022-11-07 13:43:33,Old
CL03-SC082,,,,2022-11-07 13:43:33,New
CL03-SC083,,,,2022-11-07 13:43:33,Old
CL03-SC083,,,,2022-11-07 13:43:33,New
CL03-SC084,,,,2022-11-07 13:43:33,Old
CL03-SC084,,,,2022-11-07 13:43:33,New
CL03-SC085,,,,2022-11-07 13:43:33,Old
CL03-SC085,,,,2022-11-07 13:43:33,New
CL03-SC086,,,,2022-11-07 13:43:33,Old
CL03-SC086,,,,2022-11-07 13:43:33,New
CL03-SC087,,,,2022-11-07 13:43:33,New
CL03-SC087,,,,2022-11-07 13:43:33,Old
CL03-SC088,,,,2022-11-07 13:43:33,New
CL03-SC088,,,,2022-11-07 13:43:33,Old
CL03-SC089,,,,2022-11-07 13:43:33,New
CL03-SC089,,,,2022-11-07 13:43:33,Old
CL03-SC090,,,,2022-11-07 13:43:33,New
CL03-SC090,,,,2022-11-07 13:43:33,Old
CL03-SC091,,,,2022-11-07 13:43:33,Old
CL03-SC091,,,,2022-11-07 13:43:33,New
CL03-SC092,,,,2022-11-07 13:43:33,New
CL03-SC092,,,,2022-11-07 13:43:33,Old
CL03-SC093,,,,2022-11-07 13:43:33,New
CL03-SC093,,,,2022-11-07 13:43:33,Old
CL03-SC095,,,,2022-11-07 13:43:33,New
CL03-SC095,,,,2022-11-07 13:43:33,Old
CL03-SC097,,,,2022-11-07 13:43:33,New
CL03-SC097,,,,2022-11-07 13:43:33,Old
CL03-SC099,,,,2022-11-07 13:43:33,New
CL03-SC099,,,,2022-11-07 13:43:33,Old
CL03-SC101,,,,2022-11-07 13:43:33,Old
CL03-SC101,,,,2022-11-07 13:43:33,New
CL03-SC102,,,,2022-11-07 13:43:33,Old
CL03-SC102,,,,2022-11-07 13:43:33,New
CL03-SC103,,,,2022-11-07 13:43:33,Old
CL03-SC103,,,,2022-11-07 13:43:33,New
CL03-SC105,,,,2022-11-07 13:43:33,New
CL03-SC105,,,,2022-11-07 13:43:33,Old
CL03-SC106,,,,2022-11-07 13:43:33,Old
CL03-SC106,,,,2022-11-07 13:43:33,New
CL03-SC108,,,,2022-11-07 13:43:33,Old
CL03-SC108,,,,2022-11-07 13:43:33,New
CL03-SC109,,,,2022-11-07 13:43:33,Old
CL03-SC109,,,,2022-11-07 13:43:33,New
CL03-SC110,,,,2022-11-07 13:43:33,Old
CL03-SC110,,,,2022-11-07 13:43:33,New
CL03-SC112,,,,2022-11-07 13:43:33,Old
CL03-SC112,,,,2022-11-07 13:43:33,New
CL03-SC114,,,,2022-11-07 13:43:33,Old
CL03-SC114,,,,2022-11-07 13:43:33,New
CL03-SC115,,,,2022-11-07 13:43:33,New
CL03-SC115,,,,2022-11-07 13:43:33,Old
CL03-SC116,,,,2022-11-07 13:43:33,New
CL03-SC116,,,,2022-11-07 13:43:33,Old
CL03-SC118,,,,2022-11-07 13:43:33,New
CL03-SC118,,,,2022-11-07 13:43:33,Old
CL03-SC123,,,,2022-11-07 13:43:33,New
CL03-SC123,,,,2022-11-07 13:43:33,Old
CL03-SC125,,,,2022-11-07 13:43:33,Old
CL03-SC125,,,,2022-11-07 13:43:33,New
CL03-SC126,,,,2022-11-07 13:43:33,New
CL03-SC126,,,,2022-11-07 13:43:33,Old
CL03-SC127,,,,2022-11-07 13:43:33,New
CL03-SC127,,,,2022-11-07 13:43:33,Old
CL03-SC128,,,,2022-11-07 13:43:33,Old
CL03-SC128,,,,2022-11-07 13:43:33,New
CL03-SC129,,,,2022-11-07 13:43:33,New
CL03-SC129,,,,2022-11-07 13:43:33,Old
CL03-SC130,,,,2022-11-07 13:43:33,New
CL03-SC130,,,,2022-11-07 13:43:33,Old
CL03-SC131,,,,2022-11-07 13:43:33,New
CL03-SC131,,,,2022-11-07 13:43:33,Old
CL03-SC132,,,,2022-11-07 13:43:33,New
CL03-SC132,,,,2022-11-07 13:43:33,Old
CL03-SC133,,,,2022-11-07 13:43:33,Old
CL03-SC133,,,,2022-11-07 13:43:33,New
CL03-SC134,,,,2022-11-07 13:43:33,New
CL03-SC134,,,,2022-11-07 13:43:33,Old
CL03-SC135,,,,2022-11-07 13:43:33,New
CL03-SC135,,,,2022-11-07 13:43:33,Old
CL03-SC136,,,,2022-11-07 13:43:33,New
CL03-SC136,,,,2022-11-07 13:43:33,Old
CL03-SC137,,,,2022-11-07 13:43:33,New
CL03-SC137,,,,2022-11-07 13:43:33,Old
CL03-SC138,,,,2022-11-07 13:43:33,Old
CL03-SC138,,,,2022-11-07 13:43:33,New
CL03-SC139,,,,2022-11-07 13:43:33,Old
CL03-SC139,,,,2022-11-07 13:43:33,New
CL03-SC140,,,,2022-11-07 13:43:33,Old
CL03-SC140,,,,2022-11-07 13:43:33,New
CL03-SC141,,,,2022-11-07 13:43:33,New
CL03-SC141,,,,2022-11-07 13:43:33,Old
CL03-SC142,,,,2022-11-07 13:43:33,Old
CL03-SC142,,,,2022-11-07 13:43:33,New
CL03-SC143,,,,2022-11-07 13:43:33,Old
CL03-SC143,,,,2022-11-07 13:43:33,New
CL03-SC144,,,,2022-11-07 13:43:33,Old
CL03-SC144,,,,2022-11-07 13:43:33,New
CL03-SC145,,,,2022-11-07 13:43:33,Old
CL03-SC145,,,,2022-11-07 13:43:33,New
CL03-SC146,,,,2022-11-07 13:43:33,Old
CL03-SC146,,,,2022-11-07 13:43:33,New
CL03-SC147,,,,2022-11-07 13:43:33,Old
CL03-SC147,,,,2022-11-07 13:43:33,New
CL03-SC148,,,,2022-11-07 13:43:33,New
CL03-SC148,,,,2022-11-07 13:43:33,Old
CL03-SC149,,,,2022-11-07 13:43:33,Old
CL03-SC149,,,,2022-11-07 13:43:33,New
CL03-SC150,,,,2022-11-07 13:43:33,Old
CL03-SC150,,,,2022-11-07 13:43:33,New
CL03-SC151,,,,2022-11-07 13:43:33,Old
CL03-SC151,,,,2022-11-07 13:43:33,New
CL03-SC152,,,,2022-11-07 13:43:33,New
CL03-SC152,,,,2022-11-07 13:43:33,Old
CL03-SC153,,,,2022-11-07 13:43:33,New
CL03-SC153,,,,2022-11-07 13:43:33,Old
CL03-SC154,,,,2022-11-07 13:43:33,New
CL03-SC154,,,,2022-11-07 13:43:33,Old
CL03-SC155,,,,2022-11-07 13:43:33,New
CL03-SC155,,,,2022-11-07 13:43:33,Old
CL03-SC156,,,,2022-11-07 13:43:33,New
CL03-SC156,,,,2022-11-07 13:43:33,Old
CL03-SC157,,,,2022-11-07 13:43:33,Old
CL03-SC157,,,,2022-11-07 13:43:33,New
CL03-SC158,,,,2022-11-07 13:43:33,Old
CL03-SC158,,,,2022-11-07 13:43:33,New
CL03-SC159,,,,2022-11-07 13:43:33,Old
CL03-SC159,,,,2022-11-07 13:43:33,New
CL03-SC160,,,,2022-11-07 13:43:33,Old
CL03-SC160,,,,2022-11-07 13:43:33,New
CL03-SC161,,,,2022-11-07 13:43:33,New
CL03-SC161,,,,2022-11-07 13:43:33,Old
CL03-SC162,,,,2022-11-07 13:43:33,New
CL03-SC162,,,,2022-11-07 13:43:33,Old
CL03-SC163,,,,2022-11-07 13:43:33,New
CL03-SC163,,,,2022-11-07 13:43:33,Old
CL03-SC164,,,,2022-11-07 13:43:33,New
CL03-SC164,,,,2022-11-07 13:43:33,Old
CL03-SC165,,,,2022-11-07 13:43:33,New
CL03-SC165,,,,2022-11-07 13:43:33,Old
CL03-SC166,,,,2022-11-07 13:43:33,New
CL03-SC166,,,,2022-11-07 13:43:33,Old
CL03-SC167,,,,2022-11-07 13:43:33,Old
CL03-SC167,,,,2022-11-07 13:43:33,New
CL03-SC168,,,,2022-11-07 13:43:33,Old
CL03-SC168,,,,2022-11-07 13:43:33,New
CL03-SC169,,,,2022-11-07 13:43:33,New
CL03-SC169,,,,2022-11-07 13:43:33,Old
CL03-SC170,,,,2022-11-07 13:43:33,New
CL03-SC170,,,,2022-11-07 13:43:33,Old
CL03-SC171,,,,2022-11-07 13:43:33,New
CL03-SC171,,,,2022-11-07 13:43:33,Old
CL03-SC172,,,,2022-11-07 13:43:33,New
CL03-SC172,,,,2022-11-07 13:43:33,Old
CL03-SC173,,,,2022-11-07 13:43:33,Old
CL03-SC173,,,,2022-11-07 13:43:33,New
CL03-SC174,,,,2022-11-07 13:43:33,New
CL03-SC174,,,,2022-11-07 13:43:33,Old
CL03-SC175,,,,2022-11-07 13:43:33,New
CL03-SC175,,,,2022-11-07 13:43:33,Old
CL03-SC176,,,,2022-11-07 13:43:33,New
CL03-SC176,,,,2022-11-07 13:43:33,Old
CL03-SC177,,,,2022-11-07 13:43:33,New
CL03-SC177,,,,2022-11-07 13:43:33,Old
CL03-SC178,,,,2022-11-07 13:43:33,Old
CL03-SC178,,,,2022-11-07 13:43:33,New
CL03-SC179,,,,2022-11-07 13:43:33,Old
CL03-SC179,,,,2022-11-07 13:43:33,New
CL03-SC180,,,,2022-11-07 13:43:33,New
CL03-SC180,,,,2022-11-07 13:43:33,Old
CL03-SC181,,,,2022-11-07 13:43:33,Old
CL03-SC181,,,,2022-11-07 13:43:33,New
CL03-SC182,,,,2022-11-07 13:43:33,Old
CL03-SC182,,,,2022-11-07 13:43:33,New
CL03-SC183,,,,2022-11-07 13:43:33,Old
CL03-SC183,,,,2022-11-07 13:43:33,New
CL03-SC184,,,,2022-11-07 13:43:33,New
CL03-SC184,,,,2022-11-07 13:43:33,Old
CL03-SC185,,,,2022-11-07 13:43:33,New
CL03-SC185,,,,2022-11-07 13:43:33,Old
CL03-SC186,,,,2022-11-07 13:43:33,Old
CL03-SC186,,,,2022-11-07 13:43:33,New
CL03-SC187,,,,2022-11-07 13:43:33,New
CL03-SC187,,,,2022-11-07 13:43:33,Old
CL03-SC188,,,,2022-11-07 13:43:33,Old
CL03-SC188,,,,2022-11-07 13:43:33,New
CL03-SC189,,,,2022-11-07 13:43:33,New
CL03-SC189,,,,2022-11-07 13:43:33,Old
CL03-SC190,,,,2022-11-07 13:43:33,Old
CL03-SC190,,,,2022-11-07 13:43:33,New
RD/KP07-JP044,Unbelievarmor,"('Rare',)",,2022-09-18 18:52:25,Old
RD/KP07-JP044,Bizarrmor,"('Rare',)",,2022-09-18 18:52:25,New
RD/KP07-JP048,Hot Off the Press,"('Rare',)",,2022-09-18 18:52:25,New
RD/KP07-JP048,Tile Burn,"('Rare',)",,2022-09-18 18:52:25,Old
RD/KP07-JP056,Comeback! Feelshock!!,"('Rare',)",,2022-09-18 18:52:25,Old
RD/KP07-JP056,Shocking Comeback!!,"('Rare',)",,2022-09-18 18:52:25,New
RD/KP07-KR044,Unbelievarmor,"('Rare',)",,2022-09-18 18:52:25,Old
RD/KP07-KR044,Bizarrmor,"('Rare',)",,2022-09-18 18:52:25,New
RD/KP07-KR048,Tile Burn,"('Rare',)",,2022-09-18 18:52:25,Old
RD/KP07-KR048,Hot Off the Press,"('Rare',)",,2022-09-18 18:52:25,New
RD/KP07-KR056,Shocking Comeback!!,"('Rare',)",,2022-09-18 18:52:25,New
RD/KP07-KR056,Comeback! Feelshock!!,"('Rare',)",,2022-09-18 18:52:25,Old
RD/KP12-JP000,Gilford the Lightning,"('Secret Rare', 'Rr')",,2023-01-21 08:27:32,New
RD/KP12-JP000,Gilford the Lightning,"('Secret Rare', 'Rush Rare')",,2023-01-20 13:35:46,Old
RD/KP12-JP003,The Dragias,"('Ultra Rare', 'Rr')",,2023-01-21 08:27:32,New
RD/KP12-JP003,The Dragias,"('Ultra Rare', 'Rush Rare')",,2023-01-20 13:35:46,Old
RD/KP12-JP030,Transamuroad Rainac,"('Ultra Rare', 'Rush Rare')",,2023-01-20 13:35:46,Old
RD/KP12-JP030,Transamuroad Rainac,"('Ultra Rare', 'Rr')",,2023-01-21 08:27:32,New
RD/KP12-JP035,The Dragiastar,"('Ultra Rare', 'Rr')",,2023-01-21 08:27:32,New
RD/KP12-JP035,The Dragiastar,"('Ultra Rare', 'Rush Rare')",,2023-01-20 13:35:46,Old
RD/KP12-JP041,Drukmoor the Skysavior Phantom,"('Rare',)",,2023-01-20 13:35:46,Old
RD/KP12-JP041,Drukmoor the Skysavior Phantom,"('Common',)",,2023-01-21 08:27:32,New
