Card number,Name,Rarity,Print,Release,Modification date,Version
ADC1-EN001,Dark Magician,"('Secret Rare',)",,2023-01-26,2023-01-26 09:17:24,New
BPT-J02,Chaos Emperor Dragon - Envoy of the End,"('Ultimate Rare',)",,2004-01-21,2022-06-18 10:50:28,Old
BPT-J02,Chaos Emperor Dragon - Envoy of the End,"('Ultimate Rare',)",,2004-01-22,2023-01-26 12:42:21,New
CL03-SC075,,,,2023-02-25,2022-11-07 13:43:33,Old
CL03-SC075,Galaxy-Eyes Full Armor Photon Dragon,"('Secret Rare',)",New,2023-02-25,2022-11-07 13:43:33,New
JF07-JP001,Voltic Kong,"('Common', 'Normal Parallel Rare')",,2006-12-16,2019-03-13 23:29:15,Old
JF07-JP002,Botanical Lion,"('Common', 'Normal Parallel Rare')",,2006-12-16,2019-03-13 23:29:15,Old
JF07-JP003,Gravity Behemoth,"('Common', 'Normal Parallel Rare')",,2006-12-16,2019-03-13 23:29:15,Old
P4-01,Dark Magician Girl,"('Ultra Rare',)",Reprint,2001-01-18,2022-07-26 20:40:41,Old
P4-01,Dark Magician Girl,"('Ultra Rare',)",Reprint,2000-12-23,2023-01-26 11:26:47,New
P4-02,Dark Magician,"('Ultra Rare',)",New artwork,2001-01-18,2022-07-26 20:40:41,Old
P4-02,Dark Magician,"('Ultra Rare',)",New artwork,2000-12-23,2023-01-26 11:26:47,New
P4-03,Thousand Knives,"('Ultra Rare',)",New,2001-01-18,2022-07-26 20:40:41,Old
P4-03,Thousand Knives,"('Ultra Rare',)",New,2000-12-23,2023-01-26 11:26:47,New
P4-04,Dark Magic Curtain,"('Ultra Rare',)",New,2001-01-18,2022-07-26 20:40:41,Old
P4-04,Dark Magic Curtain,"('Ultra Rare',)",New,2000-12-23,2023-01-26 11:26:47,New
P4-05,Mystic Box,"('Ultra Rare',)",New,2001-01-18,2022-07-26 20:40:41,Old
P4-05,Mystic Box,"('Ultra Rare',)",New,2000-12-23,2023-01-26 11:26:47,New
P4-06,Magic Cylinder,"('Ultra Rare',)",New,2001-01-18,2022-07-26 20:40:41,Old
P4-06,Magic Cylinder,"('Ultra Rare',)",New,2000-12-23,2023-01-26 11:26:47,New
