Card number,Rarity,Version
20CP-JPC01,"('20th Secret rare',)",New
20CP-JPC01,"('20th Secret Rare',)",Old
20CP-JPC02,"('20th Secret rare',)",New
20CP-JPC02,"('20th Secret Rare',)",Old
ABPF-DESE1,"('Super Rare',)",Old
ABPF-DESE1,"('Super rare',)",New
ABPF-DESE2,"('Super Rare',)",Old
ABPF-DESE2,"('Super rare',)",New
ABPF-DESP1,"('Ultra rare',)",New
ABPF-DESP1,"('Ultra Rare',)",Old
ABPF-ENSE1,"('Super Rare',)",Old
ABPF-ENSE1,"('Super rare',)",New
ABPF-ENSE2,"('Super rare',)",New
ABPF-ENSE2,"('Super Rare',)",Old
ABPF-ENSP1,"('Ultra Rare',)",Old
ABPF-ENSP1,"('Ultra rare',)",New
ABPF-FRSE1,"('Super rare',)",New
ABPF-FRSE1,"('Super Rare',)",Old
ABPF-FRSE2,"('Super rare',)",New
ABPF-FRSE2,"('Super Rare',)",Old
ABPF-FRSP1,"('Ultra Rare',)",Old
ABPF-FRSP1,"('Ultra rare',)",New
ABPF-ITSE1,"('Super rare',)",New
ABPF-ITSE1,"('Super Rare',)",Old
ABPF-ITSE2,"('Super Rare',)",Old
ABPF-ITSE2,"('Super rare',)",New
ABPF-ITSP1,"('Ultra rare',)",New
ABPF-ITSP1,"('Ultra Rare',)",Old
ABPF-SPSE1,"('Super rare',)",New
ABPF-SPSE1,"('Super Rare',)",Old
ABPF-SPSE2,"('Super Rare',)",Old
ABPF-SPSE2,"('Super rare',)",New
ABPF-SPSP1,"('Ultra rare',)",New
ABPF-SPSP1,"('Ultra Rare',)",Old
ABYR-DESE1,"('Super Rare',)",Old
ABYR-DESE1,"('Super rare',)",New
ABYR-DESE2,"('Super rare',)",New
ABYR-DESE2,"('Super Rare',)",Old
ABYR-DESP1,"('Ultra rare',)",New
ABYR-DESP1,"('Ultra Rare',)",Old
ABYR-ENSE1,"('Super Rare',)",Old
ABYR-ENSE1,"('Super rare',)",New
ABYR-ENSE2,"('Super Rare',)",Old
ABYR-ENSE2,"('Super rare',)",New
ABYR-ENSP1,"('Ultra rare',)",New
ABYR-ENSP1,"('Ultra Rare',)",Old
ABYR-FRSE1,"('Super rare',)",New
ABYR-FRSE1,"('Super Rare',)",Old
ABYR-FRSE2,"('Super rare',)",New
ABYR-FRSE2,"('Super Rare',)",Old
ABYR-FRSP1,"('Ultra Rare',)",Old
ABYR-FRSP1,"('Ultra rare',)",New
ABYR-ITSE1,"('Super Rare',)",Old
ABYR-ITSE1,"('Super rare',)",New
ABYR-ITSE2,"('Super Rare',)",Old
ABYR-ITSE2,"('Super rare',)",New
ABYR-ITSP1,"('Ultra rare',)",New
ABYR-ITSP1,"('Ultra Rare',)",Old
ABYR-SPSE1,"('Super rare',)",New
ABYR-SPSE1,"('Super Rare',)",Old
ABYR-SPSE2,"('Super rare',)",New
ABYR-SPSE2,"('Super Rare',)",Old
ABYR-SPSP1,"('Ultra Rare',)",Old
ABYR-SPSP1,"('Ultra rare',)",New
AC01-JP005,"('Super Rare', 'Collector""s Rare')",New
AC01-JP005,"('Super Rare', ""Collector's Rare"")",Old
