Name,DEF,ATK,Modification date,Version
Chimeratech Overdragon,?,?,2022-06-04 11:36:17,Old
Chimeratech Overdragon,,,2022-06-04 11:36:17,New
King of the Skull Servants,0,?,2023-01-03 20:42:58,Old
King of the Skull Servants,0,,2023-01-03 20:42:58,New
Slifer the Sky Dragon,?,?,2022-12-23 03:28:49,Old
Slifer the Sky Dragon,,,2022-12-23 03:28:49,New
The Winged Dragon of Ra,?,?,2022-12-21 00:57:52,Old
The Winged Dragon of Ra,,,2023-02-18 11:49:10,New
UFOroid Fighter,?,?,2022-11-08 12:24:44,Old
UFOroid Fighter,,,2022-11-08 12:24:44,New
