Name,Archseries,Effect type,TCG Speed Duel status,Modification date,Character,Version
Aegis of Gaia,,"('Continuous-like Effect', 'Effect')",Unlimited,2023-04-07 20:07:09,,New
Amazoness Fighter,"('Amazoness',)","('Continuous Effect',)",Unlimited,2023-04-10 17:19:17,,New
Amazoness Fighting Spirit,"('Amazoness',)","('Continuous-like Effect',)",Unlimited,2023-04-10 17:19:10,,New
Amazoness Paladin,"('Amazoness',)","('Continuous Effect',)",Unlimited,2023-04-10 17:19:18,,New
Amazoness Queen,"('Amazoness',)","('Continuous Effect',)",Not yet released,2023-02-20 22:04:35,,Old
Amazoness Queen,"('Amazoness',)","('Continuous Effect',)",Unlimited,2023-03-31 18:57:56,,New
Amazoness Scouts,"('Amazoness',)","('Quick Effect',)",Unlimited,2023-04-10 17:19:13,,New
Amazoness Spellcaster,"('Amazoness',)","('Effect',)",Unlimited,2023-04-10 17:19:10,,New
Amazoness Tiger,"('Amazoness',)","('Continuous Effect', 'Unclassified effect')",Unlimited,2023-04-10 17:19:19,,New
Amazoness Willpower,"('Amazoness',)","('Continuous-like Effect', 'Effect')",Unlimited,2023-04-10 17:19:08,,New
Ancient Ruler Rises,,,Legal,2023-04-06 18:57:19,Abidos the Third,New
Annihilator Archfiend,"('Archfiend',)","('Condition', 'Ignition Effect')",Unlimited,2023-03-31 18:30:32,,New
Aqua Chorus,,"('Continuous-like Effect',)",Not yet released,2023-02-20 22:38:26,,Old
Aqua Chorus,,"('Continuous-like Effect',)",Unlimited,2023-04-06 19:41:28,,New
Aqua Spirit,"('Attribute Spirit',)","('Summoning condition', 'Trigger Effect')",Unlimited,2023-04-06 19:41:34,,New
Archfiend General,"('Archfiend', 'Field Searcher')","('Continuous Effect', 'Ignition Effect')",Unlimited,2023-04-08 22:42:14,,New
Archfiend Soldier,"('Archfiend',)",,Unlimited,2023-04-09 07:58:51,,New
Archfiend's Conscription,"('Archfiend',)",,Legal,2023-04-06 18:51:27,Titan,New
Archfiend's Promotion,"('Archfiend',)",,Legal,2023-04-06 18:55:53,Titan,New
Archfiend's Roar,"('Archfiend',)","('Effect',)",Unlimited,2023-04-08 22:42:10,,New
Armed Dragon LV10,"('Armed Dragon', 'LV')","('Ignition Effect', 'Summoning condition')",Not yet released,2023-02-20 22:32:06,,Old
Armed Dragon LV10,"('Armed Dragon', 'LV')","('Ignition Effect', 'Summoning condition')",Unlimited,2023-03-31 16:46:28,,New
