Name,TCG Speed Duel status,Modification date,Character,Version
Allure of Darkness,Unlimited,2023-03-31 16:44:36,,Old
Allure of Darkness,Limited 2,2023-05-10 10:33:14,,New
Book of Moon,Unlimited,2023-05-07 19:36:38,,Old
Book of Moon,Limited 3,2023-05-10 10:36:37,,New
Breaker the Magical Warrior,Unlimited,2023-03-18 06:45:07,,Old
Breaker the Magical Warrior,Limited 3,2023-05-10 10:35:35,,New
Cocoon of Ultra Evolution,Legal,2023-03-18 08:34:36,Weevil Underwood,Old
Cocoon of Ultra Evolution,Limited 2,2023-05-10 10:32:14,Weevil Underwood,New
Cocoon of Ultra Evolution,Limited 2,2023-05-10 10:32:14,,New
Cosmic Cyclone,Unlimited,2023-03-31 19:07:40,,Old
Cosmic Cyclone,Limited 3,2023-05-10 10:36:51,,New
Crystal Raigeki,Unlimited,2023-03-16 03:21:49,,Old
Crystal Raigeki,Limited 3,2023-05-10 10:37:03,,New
Cyber Angel Benten,Unlimited,2023-05-07 19:41:03,,Old
Cyber Angel Benten,Limited 3,2023-05-10 10:35:16,,New
Cyber Dragon,Unlimited,2023-03-31 16:45:39,,Old
Cyber Dragon,Limited 3,2023-05-10 10:35:56,,New
D.D. Warrior Lady,Unlimited,2023-03-18 10:50:41,,Old
D.D. Warrior Lady,Limited 3,2023-05-10 10:36:04,,New
Floodgate Trap Hole,Unlimited,2023-05-07 19:34:11,,Old
Floodgate Trap Hole,Limited 3,2023-05-10 10:37:15,,New
Foolish Burial,Unlimited,2023-04-20 16:05:13,,Old
Foolish Burial,Limited 2,2023-05-10 10:33:30,,New
Golden Ladybug,Unlimited,2023-03-18 21:48:12,,Old
Golden Ladybug,Limited 2,2023-05-10 10:32:27,,New
I'm Just Gonna Attack!,Legal,2023-03-19 08:05:37,Joey Wheeler,Old
I'm Just Gonna Attack!,Limited 3,2023-05-10 10:34:35,Joey Wheeler,New
I'm Just Gonna Attack!,Limited 3,2023-05-10 10:34:35,,New
Jinzo,Unlimited,2023-05-07 19:38:06,,Old
Jinzo,Limited 1,2023-05-10 10:28:31,,New
Machine Angel Ritual,Unlimited,2023-05-07 19:38:30,,Old
Machine Angel Ritual,Limited 3,2023-05-10 10:36:14,,New
Nightmare Wheel,Unlimited,2023-04-06 19:41:25,,Old
Nightmare Wheel,Limited 1,2023-05-10 10:30:28,,New
Offerings to the Doomed,Unlimited,2023-03-19 20:44:15,,Old
Offerings to the Doomed,Limited 1,2023-05-10 10:29:06,,New
Parasite Paranoid,Unlimited,2023-03-19 21:33:51,,Old
Parasite Paranoid,Limited 2,2023-05-10 10:32:41,,New
Reinforcement of the Army,Unlimited,2023-04-27 19:50:44,,Old
Reinforcement of the Army,Limited 1,2023-05-10 10:29:36,,New
Twisted Personality,Legal,2023-03-20 17:05:31,Yami Marik,Old
Twisted Personality,Limited 3,2023-05-10 10:35:02,Yami Marik,New
Twisted Personality,Limited 3,2023-05-10 10:35:02,,New
Union Hangar,Unlimited,2023-03-20 17:47:52,,Old
Union Hangar,Limited 2,2023-05-10 10:33:41,,New
Volcanic Shell,Unlimited,2023-05-07 19:39:10,,Old
Volcanic Shell,Limited 2,2023-05-10 10:32:54,,New
Wall of Disruption,Unlimited,2023-05-07 19:40:26,,Old
Wall of Disruption,Limited 3,2023-05-10 10:37:34,,New
Zoma the Spirit,Unlimited,2023-03-31 16:37:26,,Old
Zoma the Spirit,Limited 1,2023-05-10 10:30:41,,New
