Name,Archseries,Effect type,Modification date,Version
Alpha The Magnet Warrior,"('Magnet Warrior', 'Warrior (archetype)')",,2023-03-18 00:32:56,Old
Alpha The Magnet Warrior,,,2023-03-18 00:32:56,New
Amazoness Fighter,"('Amazoness',)","('Continuous Effect',)",2023-04-10 17:19:17,Old
Amazoness Fighter,,"('Continuous Effect',)",2023-04-10 17:19:17,New
Amazoness Fighting Spirit,"('Amazoness',)","('Continuous-like Effect',)",2023-04-10 17:19:10,Old
Amazoness Fighting Spirit,,"('Continuous-like Effect',)",2023-04-10 17:19:10,New
Amazoness Heirloom,"('Amazoness',)","('Condition', 'Continuous-like Effect', 'Trigger Effect')",2023-04-10 17:19:11,Old
Amazoness Heirloom,,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",2023-04-10 17:19:11,New
Amazoness Queen,"('Amazoness',)","('Continuous Effect',)",2023-03-31 18:57:56,Old
Amazoness Queen,,"('Continuous Effect',)",2023-03-31 18:57:56,New
Amazoness Sage,"('Amazoness',)","('Trigger Effect',)",2023-04-10 17:19:16,Old
Amazoness Sage,,"('Trigger Effect',)",2023-04-10 17:19:16,New
Ambulance Rescueroid,"('roid',)","('Summoning condition', 'Trigger Effect')",2023-03-18 00:58:41,Old
Ambulance Rescueroid,"('Roid',)","('Summoning condition', 'Trigger Effect')",2023-06-08 08:24:57,New
Ambulanceroid,"('roid',)","('Trigger Effect',)",2023-03-18 00:58:57,Old
Ambulanceroid,"('Roid',)","('Trigger Effect',)",2023-06-07 18:56:31,New
Ancient Gear,"('Ancient Gear',)","('Unclassified effect',)",2023-03-18 01:12:15,Old
Ancient Gear,,"('Unclassified effect',)",2023-03-18 01:12:15,New
Ancient Gear Beast,"('Ancient Gear',)","('Continuous Effect', 'Summoning condition')",2023-05-07 19:39:38,Old
Ancient Gear Beast,,"('Continuous Effect', 'Summoning condition')",2023-05-07 19:39:38,New
Ancient Gear Knight,"('Ancient Gear',)","('Condition', 'Continuous Effect', 'Unclassified effect')",2023-03-18 01:19:35,Old
Ancient Gear Knight,,"('Condition', 'Continuous Effect', 'Unclassified effect')",2023-03-18 01:19:35,New
Ancient Gear Soldier,"('Ancient Gear',)","('Continuous Effect',)",2023-03-18 01:20:54,Old
Ancient Gear Soldier,,"('Continuous Effect',)",2023-03-18 01:20:54,New
Aqua Madoor,"('Madoor',)",,2023-05-14 13:31:24,Old
Aqua Madoor,,,2023-05-14 13:31:24,New
Archfiend's Conscription,"('Archfiend',)",,2023-04-06 18:51:27,Old
Archfiend's Conscription,,,2023-04-06 18:51:27,New
Barrel Dragon,"('Gun Dragon',)","('Ignition Effect',)",2023-05-14 20:36:06,Old
Barrel Dragon,,"('Ignition Effect',)",2023-05-14 20:36:06,New
