Name,Archseries,Modification date,Version
Alpha The Magnet Warrior,,2023-03-18 00:32:56,Old
Alpha The Magnet Warrior,"('Magnet Warrior', 'Warrior (archetype)')",2023-03-18 00:32:56,New
Amazoness Fighter,,2023-04-10 17:19:17,Old
Amazoness Fighter,"('Amazoness',)",2023-04-10 17:19:17,New
Amazoness Fighting Spirit,,2023-04-10 17:19:10,Old
Amazoness Fighting Spirit,"('Amazoness',)",2023-04-10 17:19:10,New
Amazoness Heirloom,,2023-04-10 17:19:11,Old
Amazoness Heirloom,"('Amazoness',)",2023-04-10 17:19:11,New
Amazoness Queen,,2023-03-31 18:57:56,Old
Amazoness Queen,"('Amazoness',)",2023-03-31 18:57:56,New
Amazoness Sage,,2023-04-10 17:19:16,Old
Amazoness Sage,"('Amazoness',)",2023-04-10 17:19:16,New
Ancient Gear,,2023-03-18 01:12:15,Old
Ancient Gear,"('Ancient Gear',)",2023-03-18 01:12:15,New
Ancient Gear Beast,,2023-05-07 19:39:38,Old
Ancient Gear Beast,"('Ancient Gear',)",2023-05-07 19:39:38,New
Ancient Gear Knight,,2023-03-18 01:19:35,Old
Ancient Gear Knight,"('Ancient Gear',)",2023-03-18 01:19:35,New
Ancient Gear Soldier,,2023-03-18 01:20:54,Old
Ancient Gear Soldier,"('Ancient Gear',)",2023-03-18 01:20:54,New
Aqua Madoor,,2023-05-14 13:31:24,Old
Aqua Madoor,"('Madoor',)",2023-05-14 13:31:24,New
Archfiend's Conscription,,2023-04-06 18:51:27,Old
Archfiend's Conscription,"('Archfiend',)",2023-04-06 18:51:27,New
Barrel Dragon,,2023-05-14 20:36:06,Old
Barrel Dragon,"('Gun Dragon',)",2023-05-14 20:36:06,New
Beast of Talwar,,2023-05-15 18:39:27,Old
Beast of Talwar,"('Archfiend',)",2023-05-15 18:39:27,New
Berfomet,,2023-06-10 11:01:23,Old
Berfomet,"('Chimera (series)',)",2023-06-17 18:23:01,New
Big Koala,,2023-05-18 20:36:26,Old
Big Koala,"('Koala',)",2023-05-18 20:36:26,New
Black Luster Ritual,,2023-05-13 08:09:12,Old
Black Luster Ritual,"('Chaos',)",2023-06-16 20:13:50,New
Black Tyranno,,2023-05-18 20:02:25,Old
Black Tyranno,"('Black (series)',)",2023-05-18 20:02:25,New
Blade Skater,,2023-03-18 05:33:48,Old
Blade Skater,"('Cyber Girl',)",2023-03-18 05:33:48,New
Blazing Inpachi,,2023-05-18 20:10:53,Old
Blazing Inpachi,"('Inpachi (series)',)",2023-05-18 20:10:53,New
Blue-Eyes Ultimate Dragon,,2023-05-14 22:24:35,Old
Blue-Eyes Ultimate Dragon,"('-Eyes Dragon', 'Blue-Eyes')",2023-06-16 19:49:09,New
Blue-Eyes White Dragon,,2023-06-05 10:55:56,Old
Blue-Eyes White Dragon,"('-Eyes Dragon', 'Blue-Eyes')",2023-06-05 10:55:56,New
Bonding - D2O,,2023-03-18 05:59:38,Old
Bonding - D2O,"('Bonding',)",2023-03-18 05:59:38,New
Book of Moon,,2023-05-10 10:36:37,Old
Book of Moon,"('Book of',)",2023-05-10 10:36:37,New
"Brron, Mad King of Dark World",,2023-03-31 17:11:02,Old
"Brron, Mad King of Dark World","('Dark World',)",2023-03-31 17:11:02,New
Chaosrider Gustaph,,2023-05-18 20:31:04,Old
Chaosrider Gustaph,"('Chaos', 'Rider')",2023-05-18 20:31:04,New
Charging Gaia the Fierce Knight,,2023-03-18 07:56:53,Old
