Name,Password,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Version
7 Colored Fish,23771716,Not yet released,7 Colored Fish,https://yugipedia.com/wiki/7_Colored_Fish,,2023-08-14 21:44:53,New
A Bountiful Ocean,,Legal,A Bountiful Ocean,https://yugipedia.com/wiki/A_Bountiful_Ocean,,2023-08-14 17:01:36,New
A Terrible Fate,,Legal,A Terrible Fate,https://yugipedia.com/wiki/A_Terrible_Fate,,2023-08-14 16:41:10,New
Acid Rain,21323861,Not yet released,Acid Rain,https://yugipedia.com/wiki/Acid_Rain,,2023-08-15 02:59:34,New
Airorca,84747429,Not yet released,Airorca,https://yugipedia.com/wiki/Airorca,,2023-08-14 21:33:01,New
Alchemist of Black Spells,78121572,Not yet released,Alchemist of Black Spells,https://yugipedia.com/wiki/Alchemist_of_Black_Spells,,2023-08-14 20:41:41,New
Anarchist Monk Ranshin,58324930,Not yet released,Anarchist Monk Ranshin,https://yugipedia.com/wiki/Anarchist_Monk_Ranshin,,2023-08-15 01:41:32,New
Barrel Behind the Door,78783370,Not yet released,Barrel Behind the Door,https://yugipedia.com/wiki/Barrel_Behind_the_Door,"('Edited',)",2023-08-15 03:05:45,New
Battle City Siren,,Legal,Battle City Siren,https://yugipedia.com/wiki/Battle_City_Siren,,2023-08-14 16:27:08,New
Birthright,35539880,Not yet released,Birthright,https://yugipedia.com/wiki/Birthright,,2023-08-15 01:56:23,New
Blast Magician,21051146,Not yet released,Blast Magician,https://yugipedia.com/wiki/Blast_Magician,,2023-08-14 20:43:16,New
Blast with Chain,98239899,Not yet released,Blast with Chain,https://yugipedia.com/wiki/Blast_with_Chain,,2023-08-14 21:20:15,New
Book of Taiyou,38699854,Not yet released,Book of Taiyou,https://yugipedia.com/wiki/Book_of_Taiyou,,2023-08-15 03:00:44,New
Brain Crusher,81919143,Not yet released,Brain Crusher,https://yugipedia.com/wiki/Brain_Crusher,,2023-08-15 02:45:06,New
Chainsaw Insect,77252217,Not yet released,Chainsaw Insect,https://yugipedia.com/wiki/Chainsaw_Insect,,2023-08-14 23:24:18,New
Chaos Command Magician,72630549,Not yet released,Chaos Command Magician,https://yugipedia.com/wiki/Chaos_Command_Magician,,2023-08-15 02:46:16,New
Chow Len the Prophet,95905259,Not yet released,Chow Len the Prophet,https://yugipedia.com/wiki/Chow_Len_the_Prophet,,2023-08-15 01:40:19,New
Chow Sai the Ghost Stopper,38412161,Not yet released,Chow Sai the Ghost Stopper,https://yugipedia.com/wiki/Chow_Sai_the_Ghost_Stopper,,2023-08-15 01:02:35,New
Collector,,Legal,Collector,https://yugipedia.com/wiki/Collector,,2023-08-14 16:44:42,New
Cosmos Channelling,91654806,Not yet released,Cosmos Channelling,https://yugipedia.com/wiki/Cosmos_Channelling,,2023-08-15 00:10:32,New
Cross-Sword Beetle,74976215,Not yet released,Cross-Sword Beetle,https://yugipedia.com/wiki/Cross-Sword_Beetle,,2023-08-15 02:47:16,New
Cyber Energy Shock,38265153,Not yet released,Cyber Energy Shock,https://yugipedia.com/wiki/Cyber_Energy_Shock,,2023-08-15 00:09:30,New
DNA Surgery,74701381,Not yet released,DNA Surgery,https://yugipedia.com/wiki/DNA_Surgery,,2023-08-14 23:45:21,New
Dark Magician,36996508,Not yet released,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-08-04 19:37:40,Old
Dark Magician,46986414,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-08-12 06:39:02,Old
Dark Magician,46986414,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-08-14 20:39:40,New
Dark Magician,36996508,Not yet released,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-08-16 12:02:24,New
Destructotron,11232355,Not yet released,Destructotron,https://yugipedia.com/wiki/Destructotron,,2023-08-14 23:58:15,New
Dr. Frankenderp,27995943,Not yet released,Dr. Frankenderp,https://yugipedia.com/wiki/Dr._Frankenderp,,2023-08-15 00:01:40,New
Emergency Provisions,53046408,Not yet released,Emergency Provisions,https://yugipedia.com/wiki/Emergency_Provisions,,2023-08-15 02:30:10,New
Enraged Muka Muka,91862578,Not yet released,Enraged Muka Muka,https://yugipedia.com/wiki/Enraged_Muka_Muka,,2023-08-15 02:07:08,New
Exhausting Spell,95451366,Not yet released,Exhausting Spell,https://yugipedia.com/wiki/Exhausting_Spell,,2023-08-15 03:07:07,New
Fiend Kraken,77456781,Not yet released,Fiend Kraken,https://yugipedia.com/wiki/Fiend_Kraken,,2023-08-17 05:03:43,New
Fish Depth Charge,58873391,Not yet released,Fish Depth Charge,https://yugipedia.com/wiki/Fish_Depth_Charge,,2023-08-14 23:17:54,New
Floodgate Trap Hole,69599136,Limited 3,Floodgate Trap Hole,https://yugipedia.com/wiki/Floodgate_Trap_Hole,,2023-05-10 10:37:15,Old
Flyfang,11954712,Not yet released,Flyfang,https://yugipedia.com/wiki/Flyfang,,2023-08-14 21:34:20,New
Galaxy Cyclone,05133471,Unlimited,Galaxy Cyclone,https://yugipedia.com/wiki/Galaxy_Cyclone,,2023-04-08 22:41:59,Old
Gear Golem the Moving Fortress,30190809,Not yet released,Gear Golem the Moving Fortress,https://yugipedia.com/wiki/Gear_Golem_the_Moving_Fortress,,2023-08-15 00:24:12,New
Gearfried the Red-Eyes Iron Knight,85651167,Not yet released,Gearfried the Red-Eyes Iron Knight,https://yugipedia.com/wiki/Gearfried_the_Red-Eyes_Iron_Knight,,2023-08-15 02:48:34,New
Gift of the Martyr,98792570,Not yet released,Gift of the Martyr,https://yugipedia.com/wiki/Gift_of_the_Martyr,"('Edited',)",2023-08-15 00:11:29,New
Giltia the D. Knight,51828629,Not yet released,Giltia the D. Knight,https://yugipedia.com/wiki/Giltia_the_D._Knight,,2023-08-14 21:27:38,New
Goblin Attack Force,78658564,Not yet released,Goblin Attack Force,https://yugipedia.com/wiki/Goblin_Attack_Force,,2023-08-15 02:50:00,New
Gokibore,15367030,Not yet released,Gokibore,https://yugipedia.com/wiki/Gokibore,,2023-08-14 23:35:30,New
Golgoil,07526150,Not yet released,Golgoil,https://yugipedia.com/wiki/Golgoil,,2023-08-17 05:03:41,New
Heart of a Warrior,,Legal,Heart of a Warrior,https://yugipedia.com/wiki/Heart_of_a_Warrior,,2023-08-14 17:04:14,New
Howling Insect,93107608,Not yet released,Howling Insect,https://yugipedia.com/wiki/Howling_Insect,,2023-08-14 23:28:30,New
Humanoid Slime,46821314,Not yet released,Humanoid Slime,https://yugipedia.com/wiki/Humanoid_Slime,,2023-08-15 02:01:32,New
Humanoid Worm Drake,05600127,Not yet released,Humanoid Worm Drake,https://yugipedia.com/wiki/Humanoid_Worm_Drake,,2023-08-15 02:39:29,New
Infinite Cards,94163677,Not yet released,Infinite Cards,https://yugipedia.com/wiki/Infinite_Cards,,2023-08-15 02:31:51,New
Insect Barrier,23615409,Not yet released,Insect Barrier,https://yugipedia.com/wiki/Insect_Barrier,,2023-08-14 23:41:29,New
Insect Infestation,,Legal,Insect Infestation,https://yugipedia.com/wiki/Insect_Infestation,,2023-08-14 17:20:04,New
"Intel from the ""Cosmos""",,Legal,"Intel from the ""Cosmos""",https://yugipedia.com/wiki/Intel_from_the_%22Cosmos%22,,2023-08-14 17:17:05,New
Iron Grit,,Legal,Iron Grit,https://yugipedia.com/wiki/Iron_Grit,,2023-08-14 16:07:29,New
Jam Breeding Machine,21770260,Not yet released,Jam Breeding Machine,https://yugipedia.com/wiki/Jam_Breeding_Machine,,2023-08-15 02:28:36,New
Jam Defender,21558682,Not yet released,Jam Defender,https://yugipedia.com/wiki/Jam_Defender,,2023-08-15 02:36:23,New
Jinzo - Lord,35803249,Not yet released,Jinzo - Lord,https://yugipedia.com/wiki/Jinzo_-_Lord,,2023-08-14 23:52:18,New
Jinzo - Returner,09418534,Not yet released,Jinzo - Returner,https://yugipedia.com/wiki/Jinzo_-_Returner,,2023-08-14 23:53:33,New
