Name,Password,Effect type,TCG status,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Version
7 Colored Fish,23771716,,Unlimited,Not yet released,7 Colored Fish,https://yugipedia.com/wiki/7_Colored_Fish,,2023-08-14 21:44:53,Old
7 Colored Fish,23771716,,Unlimited,Unlimited,7 Colored Fish,https://yugipedia.com/wiki/7_Colored_Fish,,2023-08-24 19:15:07,New
Acid Rain,21323861,"('Effect',)",Unlimited,Not yet released,Acid Rain,https://yugipedia.com/wiki/Acid_Rain,,2023-08-15 02:59:34,Old
Acid Rain,21323861,"('Effect',)",Unlimited,Unlimited,Acid Rain,https://yugipedia.com/wiki/Acid_Rain,,2023-08-25 14:35:51,New
Airorca,84747429,"('Ignition Effect',)",Unlimited,Not yet released,Airorca,https://yugipedia.com/wiki/Airorca,,2023-08-14 21:33:01,Old
Airorca,84747429,"('Ignition Effect',)",Unlimited,Unlimited,Airorca,https://yugipedia.com/wiki/Airorca,,2023-08-24 19:18:55,New
Alchemist of Black Spells,78121572,"('Ignition Effect',)",Unlimited,Not yet released,Alchemist of Black Spells,https://yugipedia.com/wiki/Alchemist_of_Black_Spells,,2023-08-14 20:41:41,Old
Alchemist of Black Spells,78121572,"('Ignition Effect',)",Unlimited,Unlimited,Alchemist of Black Spells,https://yugipedia.com/wiki/Alchemist_of_Black_Spells,,2023-08-24 19:36:16,New
Anarchist Monk Ranshin,58324930,"('Trigger Effect',)",Unlimited,Not yet released,Anarchist Monk Ranshin,https://yugipedia.com/wiki/Anarchist_Monk_Ranshin,,2023-08-15 01:41:32,Old
Anarchist Monk Ranshin,58324930,"('Trigger Effect',)",Unlimited,Unlimited,Anarchist Monk Ranshin,https://yugipedia.com/wiki/Anarchist_Monk_Ranshin,,2023-08-24 18:47:15,New
Anti-Magic Arrows,97120394,"('Activation condition', 'Condition', 'Effect')",Unlimited,Not yet released,Anti-Magic Arrows,https://yugipedia.com/wiki/Anti-Magic_Arrows,,2023-08-15 01:48:12,Old
Anti-Magic Arrows,97120394,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,Anti-Magic Arrows,https://yugipedia.com/wiki/Anti-Magic_Arrows,,2023-08-24 18:42:32,New
Barrel Behind the Door,78783370,"('Activation condition', 'Effect')",Unlimited,Not yet released,Barrel Behind the Door,https://yugipedia.com/wiki/Barrel_Behind_the_Door,"('Edited',)",2023-08-15 03:05:45,Old
Barrel Behind the Door,78783370,"('Activation condition', 'Effect')",Unlimited,Unlimited,Barrel Behind the Door,https://yugipedia.com/wiki/Barrel_Behind_the_Door,"('Edited',)",2023-08-25 14:35:48,New
Birthright,35539880,"('Continuous-like Effect', 'Effect')",Unlimited,Not yet released,Birthright,https://yugipedia.com/wiki/Birthright,,2023-08-15 01:56:23,Old
Birthright,35539880,"('Continuous-like Effect', 'Effect')",Unlimited,Unlimited,Birthright,https://yugipedia.com/wiki/Birthright,,2023-08-24 18:38:38,New
Blast Magician,21051146,"('Continuous Effect', 'Ignition Effect')",Unlimited,Not yet released,Blast Magician,https://yugipedia.com/wiki/Blast_Magician,,2023-08-14 20:43:16,Old
Blast Magician,21051146,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,Blast Magician,https://yugipedia.com/wiki/Blast_Magician,,2023-08-24 19:35:23,New
Blast with Chain,98239899,"('Continuous-like Effect', 'Effect', 'Trigger Effect')",Unlimited,Not yet released,Blast with Chain,https://yugipedia.com/wiki/Blast_with_Chain,,2023-08-14 21:20:15,Old
Blast with Chain,98239899,"('Continuous-like Effect', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,Blast with Chain,https://yugipedia.com/wiki/Blast_with_Chain,,2023-08-24 19:24:12,New
Book of Taiyou,38699854,"('Effect',)",Unlimited,Not yet released,Book of Taiyou,https://yugipedia.com/wiki/Book_of_Taiyou,,2023-08-15 03:00:44,Old
Book of Taiyou,38699854,"('Effect',)",Unlimited,Unlimited,Book of Taiyou,https://yugipedia.com/wiki/Book_of_Taiyou,,2023-08-25 14:36:12,New
Brain Crusher,81919143,"('Trigger Effect',)",Unlimited,Not yet released,Brain Crusher,https://yugipedia.com/wiki/Brain_Crusher,,2023-08-15 02:45:06,Old
Brain Crusher,81919143,"('Trigger Effect',)",Unlimited,Unlimited,Brain Crusher,https://yugipedia.com/wiki/Brain_Crusher,,2023-08-25 14:35:57,New
Chainsaw Insect,77252217,"('Trigger Effect',)",Unlimited,Not yet released,Chainsaw Insect,https://yugipedia.com/wiki/Chainsaw_Insect,,2023-08-14 23:24:18,Old
Chainsaw Insect,77252217,"('Trigger Effect',)",Unlimited,Unlimited,Chainsaw Insect,https://yugipedia.com/wiki/Chainsaw_Insect,,2023-08-24 19:10:25,New
Chaos Command Magician,72630549,"('Continuous Effect',)",Unlimited,Not yet released,Chaos Command Magician,https://yugipedia.com/wiki/Chaos_Command_Magician,,2023-08-15 02:46:16,Old
Chaos Command Magician,72630549,"('Continuous Effect',)",Unlimited,Unlimited,Chaos Command Magician,https://yugipedia.com/wiki/Chaos_Command_Magician,,2023-08-24 18:18:41,New
Chow Len the Prophet,95905259,"('Ignition Effect',)",Unlimited,Not yet released,Chow Len the Prophet,https://yugipedia.com/wiki/Chow_Len_the_Prophet,,2023-08-15 01:40:19,Old
Chow Len the Prophet,95905259,"('Ignition Effect',)",Unlimited,Unlimited,Chow Len the Prophet,https://yugipedia.com/wiki/Chow_Len_the_Prophet,,2023-08-24 18:47:46,New
Chow Sai the Ghost Stopper,38412161,"('Continuous Effect', 'Trigger Effect')",Unlimited,Not yet released,Chow Sai the Ghost Stopper,https://yugipedia.com/wiki/Chow_Sai_the_Ghost_Stopper,,2023-08-15 01:02:35,Old
Chow Sai the Ghost Stopper,38412161,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,Chow Sai the Ghost Stopper,https://yugipedia.com/wiki/Chow_Sai_the_Ghost_Stopper,,2023-08-24 18:48:42,New
Cosmos Channelling,91654806,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Not yet released,Cosmos Channelling,https://yugipedia.com/wiki/Cosmos_Channelling,,2023-08-15 00:10:32,Old
Cosmos Channelling,91654806,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,Cosmos Channelling,https://yugipedia.com/wiki/Cosmos_Channelling,,2023-08-24 18:58:42,New
Cross-Sword Beetle,74976215,"('Continuous Effect',)",Unlimited,Not yet released,Cross-Sword Beetle,https://yugipedia.com/wiki/Cross-Sword_Beetle,,2023-08-15 02:47:16,Old
Cross-Sword Beetle,74976215,"('Continuous Effect',)",Unlimited,Unlimited,Cross-Sword Beetle,https://yugipedia.com/wiki/Cross-Sword_Beetle,,2023-08-25 17:53:57,New
Cyber Energy Shock,38265153,"('Condition', 'Effect')",Unlimited,Not yet released,Cyber Energy Shock,https://yugipedia.com/wiki/Cyber_Energy_Shock,,2023-08-15 00:09:30,Old
Cyber Energy Shock,38265153,"('Condition', 'Effect')",Unlimited,Unlimited,Cyber Energy Shock,https://yugipedia.com/wiki/Cyber_Energy_Shock,,2023-08-24 18:58:47,New
DNA Surgery,74701381,"('Activation condition', 'Continuous-like Effect')",Unlimited,Not yet released,DNA Surgery,https://yugipedia.com/wiki/DNA_Surgery,,2023-08-14 23:45:21,Old
DNA Surgery,74701381,"('Activation condition', 'Continuous-like Effect')",Unlimited,Unlimited,DNA Surgery,https://yugipedia.com/wiki/DNA_Surgery,,2023-08-24 19:05:40,New
Dark Magician,36996508,,Unlimited,Not yet released,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-08-16 12:02:24,Old
Dark Magician,46986414,,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-08-14 20:39:40,Old
Dark Magician,36996508,,Unlimited,Unlimited,Dark Magician (Arkana),https://yugipedia.com/wiki/Dark_Magician_(Arkana),,2023-08-24 18:43:44,New
Dark Magician,46986414,,Unlimited,Unlimited,Dark Magician,https://yugipedia.com/wiki/Dark_Magician,"('Alternate',)",2023-08-24 19:37:16,New
Dark Renewal,09287078,"('Activation condition', 'Effect')",Unlimited,Not yet released,Dark Renewal,https://yugipedia.com/wiki/Dark_Renewal,,2023-08-15 01:56:53,Old
Dark Renewal,09287078,"('Activation condition', 'Effect')",Unlimited,Unlimited,Dark Renewal,https://yugipedia.com/wiki/Dark_Renewal,,2023-08-24 18:38:07,New
Destiny End Dragoon,76263644,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Destiny End Dragoon,https://yugipedia.com/wiki/Destiny_End_Dragoon,,2023-07-27 08:44:37,Old
Destiny End Dragoon,76263644,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Destiny End Dragoon,https://yugipedia.com/wiki/Destiny_End_Dragoon,,2023-08-22 15:10:37,New
Destructotron,11232355,"('Ignition Effect', 'Trigger Effect')",Unlimited,Not yet released,Destructotron,https://yugipedia.com/wiki/Destructotron,,2023-08-14 23:58:15,Old
Destructotron,11232355,"('Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,Destructotron,https://yugipedia.com/wiki/Destructotron,,2023-08-25 22:57:23,New
Dr. Frankenderp,27995943,"('Condition', 'Trigger Effect')",Unlimited,Not yet released,Dr. Frankenderp,https://yugipedia.com/wiki/Dr._Frankenderp,,2023-08-15 00:01:40,Old
Dr. Frankenderp,27995943,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,Dr. Frankenderp,https://yugipedia.com/wiki/Dr._Frankenderp,,2023-08-24 19:01:18,New
Emergency Provisions,53046408,"('Cost', 'Effect')",Unlimited,Not yet released,Emergency Provisions,https://yugipedia.com/wiki/Emergency_Provisions,,2023-08-15 02:30:10,Old
