Name,Modification date,Character,Version
Cerulean Skyfire,2023-06-17 18:57:25,,Old
Chemistry in Motion,2023-06-19 15:51:24,Bastion Misawa,Old
Consumed By Darkness,2023-03-28 00:02:27,Yubel (character),Old
Cosmos Channelling,2023-08-24 18:58:42,,Old
Crystal Transcendence,2023-03-18 09:40:15,Jesse Anderson,Old
Cyber Energy Shock,2023-08-24 18:58:47,,Old
Hieratic Chant,2023-06-19 15:03:03,Yami Marik,New
I'm Just Gonna Attack!,2023-05-10 10:34:35,,Old
I'm Just Gonna Attack!,2023-05-10 10:34:35,Joey Wheeler,Old
I'm Just Gonna Attack!,2023-08-30 15:47:22,Joey Wheeler,New
I'm Just Gonna Attack!,2023-08-30 15:47:22,,New
